County,State,B20004001,B20004002,B20004003,B20004004,B20004005,B20004006,B20004007,B20004008,B20004009,B20004010,B20004011,B20004012,B20004013,B20004014,B20004015,B20004016,B20004017,B20004018
Titus,tx,25774,21831,22391,27922,39640,56133,28724,24504,25928,40929,41172,64327,22005,15474,16705,23998,39340,52105
Tom Green,tx,28572,16817,24522,31239,41012,54795,35326,21614,27474,38145,48685,61773,23930,12802,20086,26015,36786,49435
Travis,tx,36810,18308,25747,32531,48803,65378,40924,20605,27229,37001,60694,84109,32345,13954,23439,30069,42064,53198
Trinity,tx,28025,22808,29954,25686,33587,50250,32917,28539,32907,29063,34764,88704,25000,11579,25391,23075,31588,47955
Tyler,tx,26867,20000,22176,28919,45125,47917,35231,37500,30351,36615,50586,55852,18967,9565,17429,20142,41286,18542
Upshur,tx,31536,20380,29488,31941,41628,57150,40003,28806,38103,41498,51667,61563,23700,13810,20939,25574,32440,50972
Upton,tx,31797,17813,28100,32008,48438,67143,45833,26000,50069,48269,50795,90500,20259,6146,20156,16635,38906,66786
Uvalde,tx,23100,15017,21196,25541,41259,27269,28343,18089,28991,30877,48491,36894,18538,12781,14799,21280,35919,18250
Val Verde,tx,25580,14588,24702,31680,40500,54643,32541,20633,31656,36334,51102,62610,19739,11524,19730,23291,36115,50924
Van Zandt,tx,30356,20319,25773,35260,41899,50464,36317,26013,35359,43246,43762,56146,22889,15179,17266,26953,40981,48092
Victoria,tx,31242,16093,27160,34103,46961,58636,39348,20849,34322,43760,53542,70184,24470,13619,20104,26194,41720,54505
Walker,tx,32015,15203,27968,32052,39937,47773,37843,20658,34883,38466,43328,51026,28502,12214,21931,30091,38023,44923
Waller,tx,32750,22244,27210,41389,49317,47484,38978,30779,32339,52558,52428,57500,25277,11126,21958,27205,41847,46705
Ward,tx,36678,21585,32177,37734,47734,60375,47702,37188,43875,52965,49531,58654,20710,10985,18333,20547,44969,61250
Washington,tx,29937,14885,27181,30276,41924,50000,36616,21704,31150,41478,50234,68929,25438,11602,22710,21990,39639,46890
Webb,tx,23904,14705,20816,26799,43788,54193,28302,17420,25750,34956,47796,61483,19029,11685,16604,21421,40402,51573
Wharton,tx,26831,19910,23027,28462,47242,54384,35732,26101,32102,40862,59708,53846,19966,11517,17657,22250,44094,54709
Wheeler,tx,37834,16981,34543,36528,52813,49000,50636,20625,44432,60903,64444,61250,20375,11500,19881,17938,41193,41364
Wichita,tx,31766,19308,24657,32988,44057,57791,37790,24157,31597,39495,52701,73792,25836,13943,19845,27783,40084,49310
Wilbarger,tx,27105,14752,25000,26314,42083,50380,31777,19087,31176,29400,52157,62083,23365,10230,21489,21777,36517,47434
Willacy,tx,23404,14039,26990,23689,51075,40781,26469,14838,30621,30984,64653,41719,21782,11500,22160,22518,48182,39250
Williamson,tx,42195,20953,30457,39516,54159,64770,51148,23264,35321,48850,72056,85182,34132,18184,25475,32411,44450,49531
Wilson,tx,37426,18495,32330,38231,49132,58793,45485,25500,43398,47327,66858,74688,29757,10099,24774,28731,44985,48750
Winkler,tx,31633,26116,25911,32951,42610,56364,45977,48661,42208,47500,44716,66136,16465,7069,16525,20850,32667,55227
Wise,tx,35924,23184,32298,34836,48531,55279,46584,33832,44542,49579,59191,66250,26114,14697,22652,25649,41883,53914
Wood,tx,26995,15535,26776,29851,41787,57875,33713,20205,31779,39454,50059,62409,20532,8789,20605,21678,34407,49688
Yoakum,tx,30450,22601,21932,30262,37212,76750,40568,32778,32222,43155,44500,102647,16130,8253,13125,21162,36045,68958
Young,tx,28523,18200,26517,26111,44870,57794,37670,30313,39102,31658,68365,90500,22272,11937,19745,22086,36534,43295
Zapata,tx,21529,16933,17545,28603,57568,68664,34111,26109,52946,64334,66800,69483,14890,9557,10940,21105,47476,7025
Zavala,tx,16196,8508,14461,21625,19551,55331,19212,9322,18227,25455,19559,2499,13717,7683,8419,17765,19500,55919
Beaver,ut,29280,15479,27596,30566,40323,48125,39324,16809,33932,41703,41667,63594,23789,2768,20511,26111,31750,31250
Box Elder,ut,35600,25481,32817,32482,43659,63518,45839,32557,41972,44399,56182,76094,23008,17332,22019,21579,30901,50865
Cache,ut,30385,21058,26543,26577,33638,58479,39433,25375,33554,35753,44199,70650,20970,16699,17960,19109,25365,42472
Carbon,ut,32508,22796,28163,30671,40960,61429,47336,35536,46688,45805,58393,65550,19169,8833,14846,18574,33810,51776
Daggett,ut,21607,3571,25875,24583,21016,81042,39167,4643,40417,58194,20859,81042,7750,2499,9375,7500,52500,NA
Davis,ut,40202,22035,29993,35160,50652,73466,52956,29596,37359,47604,64629,89141,25737,15655,21725,23745,31338,52511
Duchesne,ut,40799,28043,41611,36221,41284,59183,52382,50250,51952,52965,52614,63792,18526,11875,18065,17072,29659,55500
Emery,ut,35489,24821,32457,35132,35787,58698,48398,37629,45185,51750,47143,62000,18125,9464,15603,16140,25972,48333
Garfield,ut,26035,18417,21875,22068,42500,50500,35754,19688,32143,32500,53348,32292,19801,9779,14464,19419,30694,51316
Grand,ut,24030,20417,25192,21427,30807,53472,30870,24878,30248,26397,35094,53854,18979,2499,19031,18092,21512,45781
Iron,ut,30037,20075,25177,26676,33179,49333,37435,22257,31769,37170,43678,50806,19879,11712,19958,18372,21381,45484
Juab,ut,31537,16154,27482,30771,41343,54083,45685,31875,42034,46094,46071,51992,17336,8404,15726,16250,37574,55417
Kane,ut,28061,17353,26612,27544,26875,62270,36060,13906,30571,32390,54867,63409,24468,23281,25561,25071,17215,62007
Millard,ut,28015,16080,23068,30058,43243,58400,43328,16905,34792,49931,51684,59500,14007,13088,14500,12361,31190,2499
Morgan,ut,39548,16458,36538,31489,56300,63295,52242,17396,49205,42400,69688,62667,25601,15521,25189,25662,15625,63819
Piute,ut,18241,15417,16587,18229,17778,44375,25250,16875,23229,31875,2499,45000,15726,8125,14688,11500,19444,44375
Rich,ut,30452,15250,40216,26008,49583,77188,41488,17857,45458,36979,48750,77188,15398,4792,16875,13000,53125,NA
Salt Lake,ut,34669,21251,28519,32748,43836,62184,42186,24791,34386,41300,55055,74055,27296,16394,23013,26430,34167,52584
San Juan,ut,29330,17297,26531,25946,35759,44423,34210,20208,33173,32422,40875,44250,22050,16036,14094,22900,33365,44531
Sanpete,ut,29254,22364,25864,26833,40824,46742,40018,26936,36793,38315,51518,52619,17391,15495,15781,18433,21518,30174
Sevier,ut,28027,20079,26923,24526,41339,58929,41035,30313,37438,37591,52667,65658,14301,6025,15988,13936,16500,43889
Summit,ut,43381,17378,28960,38120,59574,74369,54114,17132,35511,50719,79500,91333,31434,17947,21715,27526,39535,56103
Tooele,ut,39462,24260,34915,39566,48316,74893,49789,27350,44357,50055,54620,84315,27257,22417,24606,26731,34402,53580
Uintah,ut,36915,34333,34470,32225,45880,55167,53804,52988,53961,50847,53682,81979,16240,8421,15066,15636,33000,41536
Utah,ut,34262,20663,27458,30063,41549,70802,46867,25106,36894,40984,55323,81540,21302,14435,17536,20208,26254,46010
Wasatch,ut,36888,24391,28918,31853,47123,63941,47535,29150,36118,46133,62806,96944,20858,8958,18031,16368,32244,48533
Washington,ut,27726,20903,22499,25661,40060,61144,36671,24179,31053,34299,44147,69422,21037,16154,16588,19789,33876,47380
Wayne,ut,24561,6042,26016,22639,26806,47125,31429,5938,29444,35300,36458,61029,20625,6250,23684,15804,25833,41875
Weber,ut,33257,20500,29306,31973,45208,66314,42680,22508,36338,42313,56664,76908,25369,17480,22710,24011,35922,52366
Addison,vt,34613,23769,29011,32684,40563,54332,41570,31102,36022,41743,53239,65917,27256,11667,22014,27902,30382,46114
Bennington,vt,30265,20926,25479,30267,36079,47390,35336,24141,30132,35158,44813,63242,25657,17230,21237,26390,29892,40912
Caledonia,vt,29407,22018,26214,27255,34735,51015,34331,22831,29827,35313,45122,54329,25469,19875,22172,21865,30258,43704
Chittenden,vt,39627,20962,29509,36564,44701,59432,47202,22517,35179,43679,56368,74935,33452,19021,22322,30772,36726,49450
Essex,vt,27151,18750,24576,27500,39267,50547,31746,25000,30047,34444,40278,54375,22252,14740,19476,22619,38516,49000
Franklin,vt,35919,21566,30617,37066,44824,56068,40826,26250,35771,47513,49912,74083,30788,6339,24235,30656,39976,49608
Grand Isle,vt,35387,26375,31575,36391,44417,55909,44661,30250,40417,44000,56250,62583,29912,21477,27602,32755,29960,53036
Lamoille,vt,32555,18844,27759,34673,39676,46513,37978,21890,32359,40434,42788,64773,28240,17571,20830,29455,32245,39481
Orange,vt,33177,22284,29134,32388,41849,52656,37118,27241,33018,36554,50029,59087,30030,8417,25105,30044,37375,41422
Orleans,vt,27239,19850,25659,26390,34890,50798,31080,21781,30364,33782,38264,61438,23590,15862,21201,22149,32007,47829
Rutland,vt,31766,20346,26684,32053,42563,52165,36973,22485,31037,42953,50922,61368,26577,16044,21636,25699,36955,48227
Washington,vt,36458,22731,29530,36100,41385,53671,41530,25412,34286,40562,50923,65968,31823,16656,24749,33701,33768,45891
Windham,vt,31397,20859,30222,28177,34607,45783,35507,25000,34543,32230,38385,54667,27615,12448,24603,25995,30557,42356
Windsor,vt,34345,20357,30588,33635,36872,50763,38898,25860,35457,36808,45345,57284,31598,15332,24733,32308,32656,44577
Accomack,va,29697,23403,26248,31844,41038,58409,31976,27708,27420,40471,45863,71649,25578,17325,23215,24806,40132,53916
Albemarle,va,41948,23292,29880,37146,48687,64630,50148,24714,34256,42568,63071,91350,35539,22632,23632,32136,39678,51075
Alleghany,va,33398,15572,29930,32169,42982,49808,38780,16046,37656,41406,44267,73750,26432,15172,16628,27515,42063,47014
Amelia,va,33053,12188,27180,43426,45500,38688,37096,18043,32393,47754,53583,47589,30357,8770,21808,42862,41136,35809
Amherst,va,30375,12451,26061,32447,45710,54176,37362,15110,33488,42109,57563,59464,25731,11784,21179,26696,38098,48047
Appomattox,va,33420,29665,26737,37724,43182,48523,41806,33036,35600,50803,47112,44485,27836,17375,17005,29490,38772,62944
Arlington,va,66708,20613,26903,43847,68112,93176,76322,22235,30518,52242,76283,109538,56499,17767,23542,36473,58326,76592
Augusta,va,32035,21315,28057,31968,42838,48862,37782,28388,35011,39557,54598,62007,25476,13908,19518,27950,37900,44549
