County,State,B20004001,B20004002,B20004003,B20004004,B20004005,B20004006,B20004007,B20004008,B20004009,B20004010,B20004011,B20004012,B20004013,B20004014,B20004015,B20004016,B20004017,B20004018
Warren,il,28221,23731,24378,29428,39091,57019,36312,24401,32441,41222,43294,65809,22068,21477,15474,21028,33457,51705
Washington,il,33587,16736,32500,31368,45375,49653,42987,22222,41579,41656,53289,56429,25819,8906,23548,23409,34375,45987
Wayne,il,31250,21821,31014,30673,34214,48438,36427,29460,34708,38654,40192,57386,23872,11500,23324,23311,31618,39167
White,il,28299,18276,24847,30254,39469,45139,37157,21806,32091,42089,43466,51222,21318,7422,14755,22019,33333,37042
Whiteside,il,30670,18555,26999,31008,44045,51962,38504,22670,33306,42638,51327,61146,23339,14225,20434,23262,35577,46544
Will,il,43215,23056,31893,40708,55630,72869,54385,27203,42287,53306,74795,94048,32468,16349,23420,31024,42587,59638
Williamson,il,30289,16191,24124,27406,40442,57321,36442,21864,30692,35460,45993,68172,23557,11597,17566,22503,35155,49226
Winnebago,il,32154,20786,27415,32040,47109,62675,41301,25739,34023,42650,59171,74748,25947,16615,21688,25691,37917,53679
Woodford,il,40704,22500,31939,40106,49831,65164,50231,30398,41632,50172,71953,73946,26847,12738,19937,26221,35750,59052
Adams,in,30621,22948,28109,32613,37944,51292,36677,23848,32481,40794,51094,64276,23407,18077,20644,22342,29167,46939
Allen,in,34852,19594,28995,33219,45624,62337,41985,22229,35889,40701,55575,72612,28332,16617,23374,27440,36899,54283
Bartholomew,in,35318,16598,27269,32626,51877,71284,44859,20046,33301,43329,64507,81366,25955,13792,21707,25849,35731,58656
Benton,in,30693,23750,27325,30313,42820,54896,37979,28824,39167,35104,54271,59500,25008,13077,21504,23750,35568,53438
Blackford,in,29003,20486,26792,31680,42143,31953,35512,29000,31799,41356,70500,41875,21878,11098,20481,22191,38269,30781
Boone,in,43215,21684,29455,39535,59180,80685,52757,25773,35703,45442,76282,112005,33853,13788,25019,31914,44015,57799
Brown,in,29657,15833,25570,27139,31910,66360,36720,33750,31220,37321,44643,98875,23274,10676,22908,20500,26189,47440
Carroll,in,32012,17240,27781,32418,44637,60743,42807,21750,38630,45488,60423,62625,23836,13125,20857,24927,37150,57679
Cass,in,27256,20892,25506,29424,40014,59000,31977,21871,30959,37299,54375,70491,22089,14556,18882,24672,31445,54941
Clark,in,34205,21086,29128,35422,45291,59439,38909,23663,34987,40478,49039,69276,29574,15313,24934,30970,39937,51831
Clay,in,31765,25349,26175,32626,42292,57602,39738,27875,35420,41573,52125,59904,23750,15833,17260,25196,38565,56667
Clinton,in,30290,21283,28567,30672,46613,51667,37110,23849,36665,42340,63531,68750,23157,18228,20832,22083,40321,46250
Crawford,in,26659,14150,25755,25838,44313,56790,31789,18125,31981,31583,49583,58611,21624,7727,21242,17813,41842,56563
Daviess,in,32199,26024,28369,34034,45103,52039,38343,30730,37955,42786,54071,65995,22307,15081,16506,25901,41736,44286
Dearborn,in,36039,21897,32032,36261,47398,58079,43063,28041,40951,44640,62029,67813,28413,14766,25232,28929,40868,55119
Decatur,in,31664,22574,28425,31888,42344,61303,37306,30451,33451,39833,53375,74797,24906,13750,23262,25409,32321,53090
DeKalb,in,31474,21200,27595,31843,46722,54067,40517,29375,35670,41885,55233,57430,24210,8365,20251,24360,32241,46442
Delaware,in,30171,16501,24656,28169,40261,52694,37861,19945,31716,35245,48777,60422,23424,12176,19308,22108,32831,44828
Dubois,in,33065,22159,29880,34623,47026,62843,40723,28750,34929,43556,62212,81976,25443,14557,22152,25952,37155,46439
Elkhart,in,30998,24705,28914,30889,40539,54400,38190,30209,36119,39114,49792,66922,24284,17282,21611,25940,31677,50055
Fayette,in,26702,16479,22388,29628,43682,53844,33816,22656,27780,40170,48220,61250,21313,11131,18556,21598,40274,41250
Floyd,in,35360,17613,28551,35806,51986,65146,42398,22417,33368,44057,59098,86604,30310,11642,23580,30089,42549,57106
Fountain,in,32283,21176,28966,34480,47037,59432,41267,23571,35756,42792,66467,65800,24858,17778,21250,28036,35893,53512
Franklin,in,33917,25532,30163,35641,49390,51213,40503,26994,34661,47401,61118,58056,27733,18235,23388,28994,41829,47969
Fulton,in,30819,21538,29559,33131,39365,55986,36313,25388,35625,42556,46538,55550,26768,10566,23143,26762,36302,56223
Gibson,in,32191,16597,28839,35546,42465,56111,41218,19173,36460,44086,60708,62614,25337,11750,21834,26417,32193,50417
Grant,in,28432,14010,25439,28077,37088,53517,34470,15777,31482,37159,42816,59223,22807,13077,20946,21894,35170,46745
Greene,in,31206,14917,29171,31989,39608,61360,38122,21512,34951,46897,48558,67773,25521,7587,22639,26327,37878,56474
Hamilton,in,49039,24280,30113,38177,56224,74686,63441,27492,39818,48373,74212,98961,36430,20188,23384,29335,40000,60350
Hancock,in,40815,24895,31801,40528,51190,67000,48256,28313,41674,48903,62728,81370,31766,20781,24204,30849,43854,54600
Harrison,in,32648,16851,30389,32197,43575,55435,39639,15577,36546,40566,55152,59943,27683,18274,20488,28895,36345,52328
Hendricks,in,42297,19020,32036,38650,53696,65933,51623,20391,41677,46664,68119,81472,33235,18413,25982,32121,42738,57379
Henry,in,30018,19739,28401,28474,40036,54738,35408,24193,34793,35702,48500,60865,24599,14531,21701,24552,34513,45774
Howard,in,31297,14213,25865,31504,44566,59406,40536,15590,30207,42380,61573,69985,25394,12614,21596,24034,35215,50411
Huntington,in,31145,20421,27701,32980,43422,51812,40483,25236,34056,42327,50341,64125,22856,12500,21500,22604,34449,44000
Jackson,in,31174,24731,29282,32181,46250,63828,36279,27500,33400,40679,52794,85365,25858,16600,22100,25862,42135,52941
Jasper,in,36472,25612,31890,37564,43182,54813,47741,36379,45000,52163,60784,57417,22570,14962,17855,21574,34808,53000
Jay,in,28152,16864,26286,30873,38403,57070,33245,20833,31110,40601,53344,62396,23048,15152,21343,24697,35417,56172
Jefferson,in,28804,18217,24597,31427,45231,55023,35183,19785,30512,45429,50000,57969,23846,16488,19287,25238,37656,53459
Jennings,in,30632,22810,28371,31663,51686,54313,35025,23856,33200,41022,50326,63750,25388,19896,21883,25398,53382,52292
Johnson,in,39705,21398,31132,38431,52640,70827,49786,24044,40979,49292,67736,88632,30119,20027,24420,29650,41513,55064
Knox,in,30460,18848,25884,30800,40950,55298,36219,23726,31373,39063,54676,63179,25115,15040,20357,26250,34953,49593
Kosciusko,in,31797,24502,28873,31396,42332,59615,40435,30067,36639,41384,56424,63427,23302,14177,22235,22013,32651,55893
LaGrange,in,31106,29518,29610,31272,40991,58371,38208,36514,36935,38983,54922,68240,20625,13336,20144,21438,36571,55987
Lake,in,34471,20736,29501,32997,47865,63203,44659,26571,39757,48403,60941,73359,26484,13931,21089,25953,39368,56415
LaPorte,in,32729,20686,29143,32779,44857,55305,41350,25656,36737,45661,51919,71250,25070,14414,21177,24353,37192,48969
Lawrence,in,29667,15597,26735,30152,44131,62986,37570,23341,33930,40688,57178,97729,21850,11979,20235,24414,36406,50296
Madison,in,30793,20884,25904,30958,43376,50677,35699,26506,31141,36768,51258,58901,26038,14583,21639,26321,37643,45854
Marion,in,31728,17117,25825,30869,43832,59944,35566,18979,28976,36041,50009,71473,28821,15246,22879,27259,40446,53033
Marshall,in,31439,25360,29418,30880,40863,56019,39043,28261,35000,41371,53519,61250,25273,16504,23360,22183,33884,50351
Martin,in,30274,21563,27595,33151,41326,49514,35091,22210,34057,39732,36944,65000,22427,19511,20956,21331,43092,39034
Miami,in,26195,14237,23560,30046,41170,49536,31355,18750,29605,39041,53816,54018,19723,12363,17574,19572,33690,47650
Monroe,in,31140,17301,27019,28400,35066,45359,35639,19927,31012,33261,40581,50344,27743,14464,22949,25731,31460,41886
Montgomery,in,30252,17412,29547,29730,41162,52652,38144,22372,34717,42071,54497,60599,22618,11937,22619,21815,26224,40536
Morgan,in,36466,18671,30719,37565,52649,62589,43990,22182,41008,47590,66410,85833,27113,14792,21212,26683,45078,53150
Newton,in,31670,20058,28886,35938,42867,49659,41813,30368,38455,50610,43645,37778,22480,9904,16979,27437,38571,57891
Noble,in,31957,20715,30063,33870,39443,56109,38714,29205,36479,42768,44315,59966,24100,17644,21190,26458,35944,52222
Ohio,in,32823,25066,27139,36571,60682,58563,44187,26382,43283,49375,72708,68846,23020,19688,18688,30525,42614,51607
Orange,in,29024,24881,25327,31066,35987,50387,33442,32730,31094,35408,38929,46591,24818,15469,17351,29703,35461,50625
Owen,in,29170,16495,27159,31118,42857,42454,35000,28125,33272,35870,53125,40880,24215,7359,22037,27599,41178,49074
Parke,in,29123,14550,26318,33234,36333,33393,37360,20504,35013,44846,52632,27083,20375,7500,18683,22642,28000,33571
Perry,in,31605,22008,31410,34138,42500,60347,39808,23125,38547,46719,45638,65125,24261,20913,21402,25443,39444,55556
Pike,in,30667,25486,29978,30907,34226,42578,35307,32622,35146,37468,50190,21563,21610,11786,20865,22868,28672,44609
Porter,in,39627,19105,31384,38231,45317,63756,54044,26552,47608,52808,63631,78371,27166,12759,21120,27088,34987,55185
Posey,in,37090,25507,32107,38767,43485,58563,49248,27052,41169,52174,59740,81250,27963,17440,23491,28033,34679,44722
Pulaski,in,31023,17788,27515,30323,40000,57823,36956,30337,34241,41117,43466,56765,21930,7446,17363,22486,35850,58226
Putnam,in,31604,18371,27239,33433,43542,60239,40952,24375,34046,42617,58201,65486,24434,13278,21628,21333,32470,45515
Randolph,in,27374,25348,25000,27353,40029,50779,33373,26936,34306,32317,47500,51667,21502,12993,18560,21930,36395,50407
Ripley,in,32449,22139,29356,32972,48143,65741,40156,24643,37350,43207,61941,77500,25367,15302,20165,27878,37703,60714
Rush,in,32382,20357,30033,33910,44831,52681,39149,26705,36060,41456,73536,48000,26100,7500,22162,29485,31757,53284
St. Joseph,in,31444,16308,25798,30527,41622,57578,39253,20788,32398,39215,52048,70701,25462,13441,20642,24865,33640,50262
Scott,in,30094,24882,27991,31176,36806,50556,32400,27433,30717,40563,62950,50333,26569,20147,25536,26727,32726,50667
Shelby,in,34271,19904,31513,32870,50606,58171,42639,27800,40790,46008,63681,72583,27058,8551,22673,28075,42733,54864
Spencer,in,32065,19000,30363,36069,45990,48314,42783,29390,41927,45213,67589,61875,22468,7905,20248,25184,31172,46892
Starke,in,29003,20594,26742,30838,37813,48919,35593,24228,34140,43094,45750,62102,21088,17425,17763,21880,36926,35813
Steuben,in,30361,22326,26265,27500,44097,58657,39004,24946,33279,39771,51210,68889,22899,16078,19293,19886,35471,54246
Sullivan,in,31620,19038,26131,32256,49740,65776,40409,25194,38092,43909,52569,137813,23159,17740,15385,23966,36378,49167
Switzerland,in,27360,20492,29417,26859,39545,24167,35135,24265,35716,42277,58977,20673,21354,15833,23887,17500,36625,43375
Tippecanoe,in,32573,20426,26733,32118,40345,54675,40199,22600,34847,40342,49872,63416,26753,18129,22109,25856,34141,45938
Tipton,in,30360,15326,28954,28140,44475,52907,37899,24803,37896,34201,44428,54934,25901,13283,22264,26460,44722,48750
Union,in,32460,24583,30788,28482,37585,59875,38477,27688,39005,34904,40042,66635,27048,19432,23189,26110,37557,57750
Vanderburgh,in,32273,17962,27101,31679,42316,55720,39863,19758,33531,40410,52723,66263,26705,16569,22746,26128,36517,49478
Vermillion,in,27831,14818,25647,27511,50109,55152,35269,14714,32626,39750,59550,47955,21344,15250,19609,22022,24250,56288
Vigo,in,30045,18026,26339,27160,38290,57698,35026,21647,32279,34682,51319,70313,24175,13895,18196,21957,33177,51271
Wabash,in,29351,20035,27258,28066,38263,51615,37490,26806,35966,37234,50136,53491,21230,16563,19258,22081,30781,50169
Warren,in,33500,24125,29375,36050,56630,44167,42086,39191,36522,52365,77109,65938,21463,12115,19643,22303,35852,42333
Warrick,in,35644,14876,27788,32660,49982,64393,48618,24900,36805,43176,72854,86364,26688,12342,21236,23936,35349,50893
Washington,in,28321,22988,25513,29321,39655,56838,33247,27175,30063,36071,61369,63853,23560,11491,21193,25193,29336,51771
Wayne,in,29171,16773,25394,30570,42492,59049,34997,23972,31216,36057,44341,66801,24223,11614,18227,26349,40158,52438
Wells,in,31567,23066,28196,31616,41161,59071,40628,27083,36328,44114,59107,57070,24227,21447,19896,23598,34297,59464
White,in,28999,19875,25621,30536,38147,55952,36875,21379,32782,37991,53750,62159,21253,14014,17919,23448,30774,50700
Whitley,in,31866,20917,28227,33790,42886,56484,41474,30357,35530,46833,54075,67321,23828,15984,21134,25449,30833,42833
Adair,ia,31752,18587,29696,33351,37069,49231,36887,28750,34153,38833,48158,56042,24747,13438,20106,27173,31607,47969
Adams,ia,31263,23438,27258,30408,37024,43000,36213,36250,34389,37578,42857,43333,21867,10000,16477,26719,35000,42500
Allamakee,ia,26183,16299,23327,27247,32484,52563,33781,15769,34464,34690,42857,75096,20844,16575,18301,21747,29375,40357
Appanoose,ia,26367,16389,22632,25694,34479,45481,32871,16818,28565,34779,43385,70833,21655,15714,19026,20233,29333,40089
Audubon,ia,31508,14167,25253,33900,44100,60417,41250,15250,33618,49276,45250,64615,24955,10000,18477,25888,42989,50893
Benton,ia,35693,22765,29784,36196,48958,61089,43622,27898,36098,48577,66658,78889,26499,12841,21814,26638,36484,51771
Black Hawk,ia,31140,19627,26751,29177,41331,56956,37542,21711,31676,36346,49148,73222,26645,16998,21302,25843,35299,48314
Boone,ia,34438,16458,28575,35210,41857,61625,41954,15300,36077,43009,52929,78542,26348,17286,19647,27391,35517,49803
Bremer,ia,36698,29479,31311,35336,41934,55804,46696,32059,40755,45859,55417,67273,28595,17917,22685,28315,32927,50392
Buchanan,ia,32917,19719,31775,29883,38166,53175,41303,26983,40109,40772,56364,58864,26788,13185,23854,25177,36344,50568
Buena Vista,ia,29755,26301,26518,28784,37942,50741,34173,30102,31660,40650,43246,63281,23026,23281,19980,21171,31299,45875
Butler,ia,31902,18646,31039,31619,34966,52361,41059,22778,41138,41458,44605,44750,24207,14327,19413,24462,31534,55938
Calhoun,ia,30340,23000,26667,29129,37692,43529,37488,25089,34063,37481,56667,46250,23906,16250,14783,25322,30962,38958
Carroll,ia,31654,17500,30350,30423,39352,58063,37707,13000,35025,38626,44655,62153,26238,20000,21847,25841,35513,47917
Cass,ia,28257,20000,23075,27388,36453,57740,33172,24145,32476,32417,36354,63365,20763,15086,15978,22750,36635,53148
Cedar,ia,35393,30433,31768,34404,44411,54565,42388,33889,36974,43855,52986,64083,29351,18750,24614,28930,40533,47321
Cerro Gordo,ia,30822,19254,24060,31043,42212,58100,37256,23739,29201,38145,54729,68523,25559,11857,19059,25595,35651,51417
Cherokee,ia,31349,15917,24855,31349,40243,58466,39464,24375,31423,42703,49674,77083,24630,10446,20882,24773,32981,57031
Chickasaw,ia,31323,19271,28738,30315,39484,53398,37349,21439,36490,37706,46184,79583,22382,4643,19766,21729,35536,51875
Clarke,ia,28951,18250,29770,24693,31429,57384,31557,18994,30164,36293,39375,60250,25697,16757,28828,21603,26786,57315
Clay,ia,31516,21168,27878,31929,45511,51023,36619,21875,31869,40321,54301,34559,24937,19483,20488,24693,35662,51907
Clayton,ia,29608,27371,26818,29950,33419,45372,34796,28194,34101,37212,40240,46484,22915,21406,19494,23571,30234,44519
Clinton,ia,32277,19341,30934,30016,43031,58645,42771,30371,41806,40663,58785,70800,23613,11014,18692,23905,35400,51063
Crawford,ia,30853,25141,30420,31437,40525,45417,38623,27782,36660,41750,44962,40125,24951,20852,25441,22653,34205,52955
Dallas,ia,44297,23363,31189,40957,53944,73321,53332,26151,35709,48172,70745,103376,37874,17647,25522,31424,42677,54792
Davis,ia,29955,26914,23788,28347,39938,47778,36000,31296,32184,40303,41921,69500,20331,16750,12866,20450,31000,44545
Decatur,ia,28533,14167,28083,26024,35474,41554,33877,21477,33516,36439,33333,41532,22138,13438,19423,20783,35893,41667
Delaware,ia,31405,21074,29846,31295,43636,49338,38938,25064,34532,44953,54268,63313,25098,14375,19418,25785,36089,43906
Des Moines,ia,29365,17169,25839,28255,37133,57347,36323,20123,33451,35740,53969,67557,23378,14804,20576,23411,30881,50817
Dickinson,ia,31135,21063,27685,29277,40205,55658,38852,20385,37632,34286,51705,58750,23506,22321,20142,21686,31920,52500
Dubuque,ia,32164,19260,26574,31173,41794,53501,39552,22213,34146,38854,52348,66346,25633,13518,20018,25516,35578,46390
Emmet,ia,31199,19162,26105,33725,47143,47500,37727,19237,35274,42124,56298,96250,23140,9167,17145,23409,38523,37384
Fayette,ia,27843,20208,25102,27391,35294,50762,34503,30294,30951,37879,44777,55938,21851,14638,19360,20644,30331,46029
Floyd,ia,30062,18897,24265,33527,37083,58125,35582,21923,30984,41862,39509,50833,23768,8068,16987,28389,32794,61827
Franklin,ia,29741,24301,27404,30971,41964,46094,37164,26537,40482,36817,50781,51250,23397,22586,19673,24147,27931,45781
Fremont,ia,31928,13047,28225,32440,39464,50577,37288,14219,36637,40833,41875,59375,25776,11467,21228,25129,37656,41833
Greene,ia,29917,18973,26197,31100,44333,46838,35895,22132,30250,40413,54167,45913,25704,9327,24098,26024,37721,54063
Grundy,ia,34984,27000,30593,32689,41875,58355,40525,35268,36592,43688,53750,56071,27455,17396,20484,24890,36250,58882
Guthrie,ia,31450,22102,27454,31713,36765,60114,36090,22321,31500,41625,51719,60739,27231,21719,17925,28887,35102,50938
Hamilton,ia,31868,18750,27114,32278,42861,61275,37667,20575,34195,40344,57071,77232,22432,14306,16875,24853,32450,60125
Hancock,ia,31136,22083,29435,32829,42117,45982,38275,22708,32950,41964,53750,43971,24342,21406,20859,25461,27604,47232
Hardin,ia,31003,25000,26702,28220,44324,55938,40442,31635,33669,40546,52012,58798,23839,13125,19231,22990,37581,47031
Harrison,ia,35086,24833,29063,34024,51641,55406,42073,34196,38043,43889,57054,45000,26198,6563,18372,25969,41658,56406
Henry,ia,30428,21530,27045,29809,42781,54856,35084,21818,31843,32477,49798,64286,25548,18594,20083,24655,35664,50298
Howard,ia,29533,22500,29416,27544,42159,25962,36516,36250,35714,36563,43869,18529,23063,11806,15909,24318,40500,29375
Humboldt,ia,31264,24115,28301,31513,39044,59338,38641,26063,35641,43750,50764,86447,23240,16948,19914,23460,35139,51875
Ida,ia,31362,11802,27500,29347,43958,51667,36501,11875,33506,36884,53080,53750,22028,11711,17563,21543,39837,51250
Iowa,ia,35418,10938,32140,33733,39742,56161,42192,25286,39646,42468,57519,67917,28115,7863,25833,24491,34675,50300
Jackson,ia,30226,22788,25952,29840,43646,47366,37444,22957,35412,39809,55096,58056,23788,17813,18060,23350,40091,45313
Jasper,ia,32178,14866,29428,31518,45599,56940,39155,19417,34420,40231,53073,66607,26353,13326,24048,26544,36816,48953
Jefferson,ia,28594,23867,23345,29477,32808,45098,39709,24583,32167,38458,52083,54821,20565,21932,16319,20737,22833,25679
Johnson,ia,38202,24369,27384,32170,40957,56943,42559,30621,31125,35809,48172,64498,33889,17206,23984,29838,36405,51898
Jones,ia,32389,13964,30999,31768,40180,57083,39909,20192,35852,40734,48203,91146,27000,10250,23659,26130,35813,48819
Keokuk,ia,29162,17031,25974,31604,31990,53385,34399,22143,31437,39144,35000,61250,23198,10052,20301,22233,31761,48438
Kossuth,ia,30807,18958,25854,30457,39167,54432,39940,27857,32188,42262,52308,50789,21688,12083,15159,21791,30382,55625
Lee,ia,28619,18182,26364,27406,35303,62849,35513,23789,32092,35791,51366,74861,21373,8608,17356,21715,31875,45547
Linn,ia,37995,21067,29161,34811,51403,64407,45760,27267,34007,42006,64059,79730,31172,15746,24226,28933,41984,55971
Louisa,ia,29504,23379,26637,30454,51705,45962,33381,26146,33750,36768,65815,21000,24058,18750,19335,24920,42065,49375
Lucas,ia,30711,21667,27478,30486,46023,71094,37181,28036,33611,43229,54920,57188,22964,17578,20242,21551,40694,74107
Lyon,ia,30384,20313,26857,30481,40333,53400,38356,25938,35910,40491,44844,72969,22387,7065,18551,22259,36130,38125
Madison,ia,35288,30417,25675,36177,49583,60625,42241,40164,34764,47619,54074,86250,28463,12813,20309,30273,45372,47083
Mahaska,ia,32752,15842,29598,32630,40702,55625,40567,17941,34375,44511,51122,58229,24573,14213,19925,21655,31234,52578
Marion,ia,32769,19653,28785,31235,39910,50913,41401,25820,38469,41535,47848,59000,24515,11184,19606,24341,32813,47202
Marshall,ia,32610,25276,28177,33080,45436,62159,38504,26436,33478,42357,53487,72604,27039,23365,23213,26629,36346,55500
Mills,ia,37930,15469,30217,37780,48113,56222,42433,17083,35755,42263,54306,66250,31043,8906,23750,30285,43086,49861
Mitchell,ia,32142,16875,30506,33485,37500,56563,39190,22167,37429,40229,54250,50938,25672,12072,17614,29107,29107,59375
Monona,ia,29011,14826,26824,29724,35450,50333,35513,21691,35093,37163,43000,53750,21598,13160,16170,22743,33845,46364
Monroe,ia,33521,32875,26821,32672,45000,52740,41292,34167,37313,39881,74297,55625,23986,12250,15903,22321,38945,52692
Montgomery,ia,27634,18324,23387,30441,40764,55288,35124,20048,30417,35539,44922,74141,23189,4167,15938,25662,34531,51944
Muscatine,ia,31390,18908,27900,32359,44063,59762,40176,22391,36034,43604,59063,81618,25137,14840,21170,24763,37010,53913
O'Brien,ia,27505,21094,23463,27578,39044,56652,40219,28542,31365,42222,50833,56850,19254,11204,16318,19725,25955,55000
Osceola,ia,28981,16492,26632,29477,36875,49167,36430,18882,30900,45032,53913,50625,23969,15000,21212,26033,30074,37321
Page,ia,29611,11408,24362,31322,40694,48990,33134,13298,27443,33276,49539,57321,25503,10165,17167,27475,32689,47739
Palo Alto,ia,29281,22202,26694,29954,40625,51250,35450,27500,30129,39181,46250,49615,25851,18281,22006,26022,27443,51480
Plymouth,ia,35560,23333,29868,35745,40556,62750,44097,27171,38770,44485,52176,95096,28076,13631,20700,27717,34452,53917
Pocahontas,ia,28989,28259,27068,26212,36214,51313,34838,29241,31344,36518,50714,54318,21502,6591,18949,20018,31333,47279
Polk,ia,38720,21019,28404,36082,49133,63676,44169,22288,32269,42264,58820,77758,33567,18890,24933,31221,42027,55273
Pottawattamie,ia,32460,21074,28244,33299,44738,57037,38333,22780,31867,40494,54049,62356,28258,19525,24032,28216,39246,53867
Poweshiek,ia,31011,20111,25750,30556,44103,58317,36981,22174,32799,40592,51583,76442,25438,12273,21696,25474,39353,47000
Ringgold,ia,29535,29009,19600,31294,34625,53125,35247,31397,21607,39821,37056,55417,25625,18214,15063,26453,29306,52500
Sac,ia,29653,20000,27306,29641,35946,54079,38867,22969,35958,40075,43295,70833,23336,14605,19449,24282,29188,45000
Scott,ia,36288,21139,27277,32587,47830,63077,45533,23276,35084,43467,63765,80697,28618,14553,21414,26250,37339,53947
Shelby,ia,30488,23520,26739,30016,43707,63705,36317,25500,31551,42571,47135,69625,25723,11012,20527,25154,40156,59583
Sioux,ia,31878,24355,29140,31840,36094,51372,41176,25355,38687,41423,49479,53563,22076,22702,20688,19712,26490,47938
Story,ia,36842,17210,30084,31883,40131,56721,42053,22311,35863,36522,46266,65840,31145,11725,24602,28315,34266,48005
Tama,ia,32287,21781,30258,32422,38586,46458,39487,23393,37583,38819,46750,51607,24037,14545,21233,23517,31282,43036
Taylor,ia,26863,24286,25241,25928,39773,41688,32957,30089,30893,35739,45481,36250,21972,23304,18281,21951,33958,42500
Union,ia,27286,18517,24718,27243,40294,49119,34169,18033,29375,36667,50000,49119,22099,20843,21508,18346,33558,48750
Van Buren,ia,28185,22578,26967,28239,38333,50139,34318,23750,34514,36304,43636,56250,21671,14352,16516,22303,32500,31500
Wapello,ia,29567,21302,26640,28078,45256,63284,36788,21558,35506,35279,59960,73073,22135,21094,18187,21154,36118,52500
Warren,ia,40228,22431,32989,36519,51530,57598,46581,27470,39221,45493,56521,60878,34648,13182,27250,31542,45077,56667
Washington,ia,31529,22738,28267,32321,38719,54118,35144,26597,33250,37398,41528,53482,27049,17879,21400,28244,37747,54358
Wayne,ia,29084,18542,23990,31471,40458,43750,32754,20417,30226,40000,42083,43750,21645,12250,17604,22500,40278,43750
Webster,ia,31725,15286,27659,31825,42532,54120,38055,24545,34059,38060,53578,63948,25687,8804,20538,26914,35391,45446
Winnebago,ia,31206,22829,27997,30910,40025,54097,35639,22102,32391,35625,45341,53100,24969,23059,21114,24604,31033,57143
Winneshiek,ia,31629,14185,28445,29813,39119,56361,37408,21944,34433,34497,51094,67260,26631,2875,21721,26092,28167,51737
Woodbury,ia,30783,22675,26281,30649,41868,55519,35787,24379,31732,38258,52005,55673,26278,21170,21863,25631,36752,55488
Worth,ia,31149,21689,26935,32191,41250,42115,36992,22150,35175,40903,45192,50568,22347,21328,19146,23090,36304,36042
Wright,ia,29203,21792,25359,33812,36139,52850,35356,22237,31188,41623,41346,57000,24026,21466,17790,26772,28646,48250
Allen,ks,29839,15840,25966,28981,44453,42188,34953,16722,32287,32167,52500,46493,25503,11744,19338,25639,38273,38750
Anderson,ks,30502,30357,20485,33464,35238,57670,38661,33750,29000,43655,42100,58125,23810,2499,12663,25306,29153,57569
Atchison,ks,31294,20118,28652,30992,36913,53701,39530,22143,39133,39000,36250,58750,26201,14698,21232,26146,36941,52543
Barber,ks,30737,17813,25799,30392,41359,45147,39617,22000,32500,41563,44954,60625,20208,12656,15250,20295,30000,43352
Barton,ks,29312,21485,25100,29722,39792,46208,36082,24365,33931,37715,48566,54211,23410,14321,18664,25051,34366,40208
Bourbon,ks,28147,20625,22402,27096,31463,49160,31090,27727,29493,29438,33313,47870,23792,8144,17358,25192,28698,50116
Brown,ks,24920,16657,21514,25562,36753,39375,30947,21354,25212,34417,43056,38194,20709,15132,18648,21144,33750,40625
Butler,ks,37917,22864,30132,33387,46714,57425,50167,29516,40598,50086,60854,68906,27714,13723,20413,25321,39348,53453
Chase,ks,24815,20263,22474,28833,33750,47875,29574,20197,31167,35000,30000,11979,22162,25313,20417,21429,37667,48750
Chautauqua,ks,30090,19844,26056,31667,40385,49500,31800,21172,28661,34226,51250,52083,26557,12143,19712,28250,37794,48875
Cherokee,ks,26270,16250,22927,27365,38269,43021,30600,20758,27500,32299,39661,49516,21442,12402,18702,21435,36026,41756
Cheyenne,ks,26494,9471,26786,25370,31538,52679,31641,21750,29938,26563,45469,65536,21500,9135,20284,24861,20625,44167
Clark,ks,27648,7167,19688,27697,49145,51375,35781,7171,24514,34135,57396,51875,24760,7159,15313,25605,29500,51042
Clay,ks,28245,27463,26602,26863,38800,41976,35417,30152,30208,37260,41733,46250,21951,10625,14163,21198,29345,38750
Cloud,ks,26805,19063,23165,28630,36813,42284,31980,21111,28614,32391,53090,49375,20490,16250,15881,20000,24659,40139
Coffey,ks,31136,18487,24970,30830,48173,50529,39639,20000,33566,40885,65921,57188,24697,17946,16644,25300,40038,47500
Comanche,ks,24786,13482,20000,32019,31786,37000,33510,14286,26364,41538,41042,36000,19356,12679,18241,19063,16250,37750
Cowley,ks,27770,19809,24394,27073,36241,47850,35164,25685,30814,37490,45482,55000,21501,17899,18942,20830,33038,42772
Crawford,ks,28443,22552,22291,26984,37226,48993,32974,23730,25274,32578,45746,60469,24741,14547,20321,21381,32075,44020
Decatur,ks,23598,23523,19625,20882,31591,46875,27404,26500,25357,29722,40441,76607,16875,22841,10066,14234,25500,43214
Dickinson,ks,31389,19500,26992,30911,39718,57500,40302,21168,34936,43905,45791,73889,22500,16875,18177,21943,35106,46429
Doniphan,ks,32114,27794,26514,30601,43841,42500,38889,32344,34189,40615,48958,46719,24527,12083,20341,23183,37014,41875
Douglas,ks,33766,14771,26190,30995,37274,49784,40231,20250,31228,36455,43024,57813,28762,11765,20182,26331,30304,44888
Edwards,ks,31108,20776,30769,30333,38000,51838,36700,22500,37500,39643,44018,52250,24844,15278,21944,21731,35859,48750
Elk,ks,24792,7128,18095,25357,37750,48194,26847,7014,24167,32250,47639,46250,18988,8750,7273,18393,29028,48194
Ellis,ks,30394,24263,25693,27555,36065,53678,35824,27214,30843,36104,39167,63983,25650,11658,19902,23483,34306,50308
