Curriculum:,Spring,2017,as of,2/21/2017 7:45,,,,,,,,
EC134,C,4,W, 3:00pm- 3:50pm,Principles of Macroeconomics,S, ,OLIN 001,35,35,6,Jha        
EC212,A,4,MWF,11:00am-11:50am,Corporate Finance II,, ,DIAM 344,22,20,11,"Nelson, Ra "
EC212,B,4,MWF,12:00n -12:50pm,Corporate Finance II,, ,DIAM 344,23,20,11,"Nelson, Ra "
EC214,A,4,TR,11:00am-12:15pm,Economic Policy and Performance in Contemporary Latin America,W2,I ,DIAM 343,14,20,2,Franko     
EC221,A,4,TR, 9:30am-10:45am,Managerial Economics,, ,DIAM 145,32,30,5,Chan       
EC223,A,4,MWF,10:00am-10:50am,Microeconomic Theory,, ,DIAM 145,31,30,12,Hubbard    
EC223,A,4,R, 3:00pm- 3:50pm,Microeconomic Theory,, ,LOVE 100,31,30,12,Hubbard    
EC224,A,4,MWF, 8:00am- 8:50am,Macroeconomic Theory,, ,DIAM 153,12,30,12,"Lester, R  "
EC224,A,4,W, 3:00pm- 3:50pm,Macroeconomic Theory,, ,DIAM 122,12,30,12,"Lester, R  "
EC224,B,4,MWF, 9:00am- 9:50am,Macroeconomic Theory,, ,DIAM 153,24,30,12,"Lester, R  "
EC224,B,4,W, 3:00pm- 3:50pm,Macroeconomic Theory,, ,DIAM 122,24,30,12,"Lester, R  "
EC224,C,4,TR, 8:00am- 9:15am,Macroeconomic Theory,, ,DIAM 141,30,30,12,Donihue    
EC224,C,4,W, 3:00pm- 3:50pm,Macroeconomic Theory,, ,LOVE 215,30,30,12,Donihue    
EC231,A,4,MWF,10:00am-10:50am,Environmental and Natural Resource Economics,, ,DIAM 153,35,30,14,Dissanayak 
EC231,B,4,MWF,11:00am-11:50am,Environmental and Natural Resource Economics,, ,DIAM 153,31,30,14,Dissanayak 
EC256,A,4,MW, 1:00pm- 2:15pm,Economics of Crime,, ,DIAM 341,19,20,8,Gunter     
EC293,A,4,TR, 9:30am-10:45am,Research Methods and Statistics for Economics,, ,DIAM 153,24,24,4,Waldkirch  
EC293,B,4,TR,11:00am-12:15pm,Research Methods and Statistics for Economics,, ,DIAM 153,23,24,4,Waldkirch  
EC298,A,4,TR, 2:30pm- 3:45pm,Macroeconomic Development,, ,DIAM 341,11,20,4,Jha        
EC348,A,4,MW,11:00am-12:15pm,Economic Growth,, ,DIAM 341,13,20,3,"Lester, R  "
EC351,A,4,MW,11:00am-12:15pm,Public Finance,W2, ,DIAM 241,20,20,0,Gunter     
EC379,A,4,TR, 9:30am-10:45am,Game Theory,, ,DIAM 342,19,20,10,Hubbard    
EC379,B,4,TR,11:00am-12:15pm,Game Theory,, ,DIAM 342,21,20,10,Hubbard    
EC393,A,4,TR,11:00am-12:15pm,Econometrics,, ,DIAM 344,20,20,4,LaFave     
EC393,B,4,TR, 1:00pm- 2:15pm,Econometrics,, ,DIAM 344,20,20,4,LaFave     
EC472,A,4,T, 1:00pm- 3:30pm,Seminar: Third Wave of Environmental Management,, ,DIAM 223,12,15,0,Chan       
EC473,A,4,T, 1:00pm- 3:30pm,Seminar: Economic Forecasting,W3, ,DIAM 322,10,15,0,"Edwards, W "
EC475,A,4,W, 1:00pm- 3:30pm,Seminar: Economics of Global Health,, ,DIAM 344,12,15,0,LaFave     
EC476,A,4,W, 1:00pm- 3:30pm,Seminar: Economics of Ecosystem Services and Biodiversity,, ,DIAM 342,11,15,0,Dissanayak 
ED120,A,4,TR, 9:30am-10:45am,"Exploring Teachers in Fiction, Art, and Film",W1, ,DIAM 123,8,16, ,Kusiak     
ED120,A,4,M, 7:00pm- 9:00pm,"Exploring Teachers in Fiction, Art, and Film",W1, ,DIAM 123,8,16, ,Kusiak     
ED201,A,4,MW, 2:30pm- 3:45pm,Education and Social Justice,S,U ,DIAM 153,22,20,6,Clonan-Roy 
ED213,A,4,TR,11:00am-12:15pm,Schools and Society,,U ,DIAM 123,20,20,2,Howard     
ED222,A,4,MW, 1:00pm- 2:15pm,Second Language Pedagogy (See EA221),, , ,0, , ,"Wang, F    "
ED322,A,4,M, 1:00pm- 3:30pm,Social Class and Schooling,,U ,DIAM 123,18,20,8,Howard     
ED376,A,4,TR, 2:30pm- 3:45pm,Teaching Culturally and Linguistically Diverse Students,, ,DIAM 123,12,20,4,Kusiak     
ED398,A,4,MW,11:00am-12:15pm,"Gender, Sexuality, and Education",, ,DIAM 123,23,20,0,Clonan-Roy 
ED433,A,4,,TBA,Student Teaching Practicum,, , ,1,15,0,Howard     
ED494B,A,4,M, 7:00pm- 9:30pm,Senior Seminar in Professional Certification,, ,MILL 034,0,15,12,Howard     
EN115A,A,4,TR, 1:00pm- 2:15pm,English Composition: Models of Voice,W1, ,MILL 319,15,16, ,Stubbs     
EN115F,A,4,TR,11:00am-12:15pm,English Composition: Voices in Medical Ethics,W1, ,MILL 319,17,16, ,Sagaser    
EN120D,A,4,TR, 1:00pm- 2:15pm,"Language, Thought, and Writing: Thinking about Language",W1, ,LOVE 102,15,16, ,Suchoff    
EN142,A,4,TR,11:00am-12:15pm,Introduction to Cinema Studies (See CI142),A, , ,0, , ,Wessels    
EN142,A,4,T, 7:00pm-10:00pm,Introduction to Cinema Studies (See CI142),A, , ,0, , ,Wessels    
EN142,B,4,TR, 1:00pm- 2:15pm,Introduction to Cinema Studies (See CI142),A, , ,0, , ,Wessels    
EN142,B,4,T, 7:00pm-10:00pm,Introduction to Cinema Studies (See CI142),A, , ,0, , ,Wessels    
EN174,A,4,TR, 8:00am- 9:15am,Public Speaking,, ,MILL 008,16,16,5,Mazzeo     
EN174,B,4,TR, 9:30am-10:45am,Public Speaking,, ,MILL 008,16,16,5,Mazzeo     
EN200,A,4,TR, 9:30am-10:45am,Foundations of Literary Studies,, ,MILL 220,15,15,5,Hanlon     
EN214,A,4,TR, 1:00pm- 2:15pm,Tutoring Writing in Theory and Practice,, ,LOVE 208,24,25,0,Harrington 
EN226,A,4,MW,11:00am-12:15pm,Performance History II (See TD226),L, , ,0, , ,Oldham     
EN256,A,4,WF, 1:00pm- 2:15pm,Studies in American Literary History: Civil War to the Present,L, ,LOVE 102,18,25,0,Sibara     
EN265,A,4,MWF, 9:00am- 9:50am,Early British Literary History,L, ,MILL 220,7,25,9,Osborne    
EN271,A,4,MWF, 1:00pm- 1:50pm,Critical Theory,L, ,LOVE 202,15,18,8,Osborne    
EN278,A,4,MW,11:00am-12:15pm,Fiction Writing I,A, ,MILL 257,15,15,0,Braunstein 
EN278,B,4,TR, 2:30pm- 3:45pm,Fiction Writing I,A, ,LOVE 203,16,15,0,Marvin     
EN279,A,4,TR, 9:30am-10:45am,Poetry Writing I,A, ,MILL 241,15,15,0,Blevins    
EN279,A2,4,TR, 9:30am-10:45am,Poetry Writing I,A, ,DIAM 243,15,15,0,Marvin     
EN279,B,4,TR, 1:00pm- 2:15pm,Poetry Writing I,A, ,LOVE 319,15,15,0,Blevins    
EN298,A,4,M, 1:00pm- 3:30pm,"Special Topics: Prose Poem, Flash Fiction, Lyric Essay",, ,MILL 257,15,15,8,Blevins    
EN329,A,4,T, 1:00pm- 3:30pm,21st-Century Comparative Literature,L, ,MILL 014,17,25,1,Mazzeo     
EN333,A,4,WF,11:00am-12:15pm,Environmental Revolutions in American Literature and Culture,L,U ,MILL 220,14,15,0,Sibara     
EN334,A,4,TR,11:00am-12:15pm,The Age of Revolution,L, ,MILL 008,19,25,0,Hanlon     
EN338,A,4,TR,11:00am-12:15pm,Narratives of Contact and Captivity,L, ,LOVE 302,16,25,2,Stubbs     
EN351,A,4,MW, 2:30pm- 3:45pm,"Contemporary American Poetry: Politics, Experiments, Selves",L, ,MILL 241,9,25,6,Ardam      
EN354,A,4,MWF,10:00am-10:50am,Slavery and the American Literary Imagination,L,U ,MILL 008,15,25,7,Bryant     
EN379,A,4,T, 7:00pm- 9:30pm,Poetry Writing II,, ,MILL 220,5,15,0,Marvin     
EN380,A,4,MW,11:00am-12:15pm,Creative Nonfiction Writing II,A, ,MILL 253,10,15,0,Burke      
EN386C,A,4,R, 1:00pm- 3:30pm,Special Topics: Documentary Radio,, ,MILL 241,15,15,4,Spark      
EN398,A,4,MW,11:00am-12:15pm,Forms of Otherness: 21st-Century Women's Writing,L, ,MILL 241,13,25,0,Ardam      
EN413C,A,4,TR, 9:30am-10:45am,Author Course: Samuel Beckett: Comedy of the Abyss,L, ,MILL 253,10,25,5,Suchoff    
EN413G,A,4,MWF,12:00n -12:50pm,Author Course: Cormac McCarthy: Novels and Film Adaptations,L,U ,MILL 319,6,25,13,Bryant     
EN478,A,2 to 4,MW, 1:00pm- 2:15pm,Advanced Studies in Prose,, ,MILL 220,7,15,0,Braunstein 
EN493G,A,4,R, 1:00pm- 3:30pm,Seminar: Poetry and Cognition,L, ,MILL 220,6,15,0,Sagaser    
EN493H,A,4,W, 1:00pm- 3:30pm,Seminar: Migratory Poetics,L, ,MILL 253,5,15,0,"Gibson, M  "
ES118,A,4,MW,10:00am-10:50am,Environment and Society,, ,DIAM 142,59,48,7,Bruesewitz McDowell   Nyhus       
ES118,A,4,R, 7:00pm- 7:50pm,Environment and Society,, ,DIAM 122,59,48,7,Bruesewitz McDowell   Nyhus       
ES118 D,A,,F,10:00am-10:50am,Disc/Activity: Env & Soc,, ,DIAM 223,20,16, ,Nyhus      
ES118 D,B,,F,10:00am-10:50am,Disc/Activity: Env & Soc,, ,DIAM 323,20,16, ,Bruesewitz 
ES118 D,C,,F,10:00am-10:50am,Disc/Activity: Env & Soc,, ,DIAM 341,19,16, ,McDowell   
ES212,A,4,TR,11:00am-12:15pm,Introduction to GIS and Remote Sensing,, ,DIAM 223,16,16,2,Nyhus      
ES212,A,4,R, 1:00pm- 4:00pm,Introduction to GIS and Remote Sensing,, ,DIAM 222,16,16,2,Nyhus      
ES218,A,4,MW,11:00am-11:50am,Exploratory Data Analysis in <I>R</I>,, ,DIAM 322,16,24,3,Gimond     
ES218,A,4,F, 1:00pm- 3:30pm,Exploratory Data Analysis in <I>R</I>,, ,DIAM 123,16,24,3,Gimond     
ES231,A,4,MWF,10:00am-10:50am,Environmental and Natural Resource Economics (See EC231),, , ,0, , ,Dissanayak 
ES231,B,4,MWF,11:00am-11:50am,Environmental and Natural Resource Economics (See EC231),, , ,0, , ,Dissanayak 
ES234,A,4,MWF, 9:00am- 9:50am,International Environmental Policy,,I ,DIAM 122,39,30,9,"Reynolds,T "
ES242,A,4,MWF,10:00am-10:50am,Marine Conservation and Policy,, ,DIAM 122,24,25,7,McClenacha 
ES243,A,4,TR, 9:30am-10:45am,Environmental Ethics (See PL243),, , ,0, , ,Peterson   
ES244,A,4,TR, 9:30am-10:45am,Marine Communities,N, ,LOVE 213,27,25,5,McClenacha 
ES346,A,4,TR,11:00am-12:15pm,Global Food Policy,,I ,DIAM 141,28,25,2,"Reynolds,T "
ES352,A,4,MWF, 9:00am- 9:50am,Advanced and Applied Ecology,, ,OLIN 234,16,18,9,McDowell   
ES352,A,4,M, 1:00pm- 4:00pm,Advanced and Applied Ecology,, ,OLIN 229,16,18,9,McDowell   
ES356,A,4,MWF,11:00am-11:50am,Aquatic Ecology,W2, ,KEYE 103,7,16,3,Bruesewitz 
ES356,A,4,W, 1:00pm- 4:00pm,Aquatic Ecology,W2, ,OLIN 223,7,16,3,Bruesewitz 
ES366,A,4,TR, 9:30am-10:45am,The Environment and Human Health,N, ,DIAM 141,38,34,0,Carlson    
ES402,A,1,T, 7:00pm- 8:15pm,Environmental Studies Colloquium,, ,OLIN 001,45,45, ,Nyhus      
ES402,A,1,W,12:00n -12:50pm,Environmental Studies Colloquium,, ,DANA FAIR,45,45, ,Nyhus      
ES476,A,4,W, 1:00pm- 3:30pm,Seminar: Economics of Ecosystem Services and Biodiversity (See EC476),, , ,0, , ,Dissanayak 
FR125,A,4,MTWR, 8:00am- 8:50am,French I,, ,LOVE 203,9,18,4,Balguerie  
FR126,A,4,MTWR, 9:00am- 9:50am,French II,, ,LOVE 203,12,18,10,Dionne     
FR126,B,4,MTWR,10:00am-10:50am,French II,, ,LOVE 203,16,18,10,Dionne     
FR126,C,4,MTWR, 1:00pm- 1:50pm,French II,, ,LOVE 207,16,18,10,Niang      
FR127,A,4,MTWR,10:00am-10:50am,French III,, ,LOVE 207,17,18,11,Niang      
FR127,B,4,MTWR,11:00am-11:50am,French III,, ,LOVE 207,14,18,11,Niang      
FR128,A,4,MW, 1:00pm- 2:15pm,French IV: Reading in Cultural Contexts,L, ,LOVE 302,13,18,10,Mauguiere  
FR131,A,4,MWF,11:00am-11:50am,Conversation and Composition,, ,LOVE 302,9,15,3,Mauguiere  
FR223,A,4,W, 7:00pm- 9:30pm,French Theater Workshop,, ,LOVE 215,9,14,0,Brunetaux  
FR231,A,4,MWF, 9:00am- 9:50am,Advanced Grammar and Composition,, ,LOVE 319,9,19,9,Paliyenko  
FR234,A,1,T, 2:30pm- 3:30pm,Intensive Spoken French,, ,LOVE 202,5,15, ,Herault    
FR245,A,4,TR,11:00am-12:15pm,Intermediate French Translation,, ,LOVE 307,9,15,2,Balguerie  
FR252,A,4,MWF,11:00am-11:50am,Provocative Texts: Engaging the World,L,I ,LOVE 307,8,19,3,Paliyenko  
FR338,A,4,TR, 2:30pm- 3:45pm,Surrealism (See AR338),, , ,0, , ,Plesch     
FR361,A,4,MW, 2:30pm- 3:45pm,"Creolization, Culture, and Society in the Indian Ocean Islands",,I ,LOVE 307,7,15,6,Mauguiere  
FR371,A,4,MW, 1:00pm- 2:15pm,<I>L'ecriture de soi</I>,L, ,LOVE 307,7,15,8,Brunetaux  
FR493E,A,4,MW, 2:30pm- 3:45pm,"Seminar: Creolization, Culture, and Society in the Indian Ocean Islands",, ,LOVE 307,0,15,0,Mauguiere  
FR493F,A,4,MW, 1:00pm- 2:15pm,Seminar: <I>L'ecriture de soi</I>,, ,LOVE 307,2,15,0,Brunetaux  
GE141,A,4,MWF, 8:00am- 8:50am,Earth and Environment,"N,Lb", ,AREY 005,39,40,4,"Nelson, Ro "
GE141,B,4,MWF,10:00am-10:50am,Earth and Environment,"N,Lb", ,AREY 005,40,40,7,Rueger     
GE141 L,A,,T, 1:00pm- 4:00pm,Lab: Earth and the Environment,, ,MUDD 218,22,20, ,"Sullivan,W "
GE141 L,B,,W, 1:00pm- 4:00pm,Lab: Earth and the Environment,, ,MUDD 218,22,20, ,Arnold     
GE141 L,C1,,R, 8:00am-11:00am,Lab: Earth and the Environment,, ,MUDD 218,17,20, ,Arnold     
GE141 L,C2,,R, 1:00pm- 4:00pm,Lab: Earth and the Environment,, ,MUDD 218,18,20, ,Croft      
GE142,A,4,MWF, 9:00am- 9:50am,Deep Time Planet Earth,"N,Lb", ,MUDD 218,14,12,9,Rueger     
GE142,A,4,M, 1:00pm- 4:00pm,Deep Time Planet Earth,"N,Lb", ,MUDD 219,14,12,9,Rueger     
GE231,A,4,TR,11:00am-12:15pm,Structural Geology,N, ,MUDD 221,6,12,2,"Sullivan,W "
GE231,A,4,R, 1:00pm- 4:00pm,Structural Geology,N, ,MUDD 221,6,12,2,"Sullivan,W "
GE254,A,4,MWF,10:00am-10:50am,Principles of Geomorphology,N, ,MUDD 218,19,20,7,"Nelson, Ro "
GE254 L,A,,W, 1:00pm- 4:00pm,Lab: Principles of Geomorphology,, ,MUDD 103,10,10, ,"Nelson, Ro "
GE254 L,B,,R, 1:00pm- 4:00pm,Lab: Principles of Geomorphology,, ,MUDD 103,9,10, ,"Nelson, Ro "
GE332,A,4,TR, 9:30am-10:45am,Igneous and Metamorphic Petrology,, ,MUDD 221,8,12,5,Dunn       
GE332,A,4,T, 1:00pm- 4:00pm,Igneous and Metamorphic Petrology,, ,MUDD 221,8,12,5,Dunn       
GE351,A,3,MW,11:00am-12:15pm,The Record of Life on Earth,N, ,MUDD 219,11,12,3,Gastaldo   
GE391,A,1,F, 1:00pm- 2:00pm,Geology Seminar,, ,KEYE 105,47,50, ,Dunn       
GK112,A,4,MW, 9:00am- 9:50am,Intermediate Greek,, ,LOVE 244,2,15,9,"Roisman, H "
GK112,A,4,TR, 8:00am- 8:50am,Intermediate Greek,, ,LOVE 244,2,15,9,"Roisman, H "
GK356,A,4,MW,11:00am-12:15pm,"Homer, <I>Iliad</I> 1: Hero's Rage",L, ,LOVE 244,4,15,3,"Roisman, H "
GM126,A,4,MTRF,10:00am-10:50am,Elementary German II,, ,LOVE 212,17,20,10,"Koch, A    "
GM126,B,4,MTRF,11:00am-11:50am,Elementary German II,, ,LOVE 212,8,20,10,"Koch, A    "
GM128,A,4,MTRF, 9:00am- 9:50am,Intermediate German II: Readings in Cultural Contexts,, ,LOVE 450,7,19,9,Ellis      
GM130,A,1,R, 7:00pm- 7:50pm,Conversation Group,, ,LOVE 450,2,15, ,Klemp      
GM298A,A,4,MW,11:00am-12:15pm,Kleist and Kafka (in English),L, ,LOVE 246,4,20,0,Ellis      
GM298B,A,4,TR, 2:30pm- 3:45pm,Weird Fictions (in English),L, ,LOVE 207,7,20,0,Ellis      
GM330,A,1,T, 7:00pm- 7:50pm,Current Topics,, ,LOVE 450,3,15, ,Klemp      
GM493,A,4,T, 1:00pm- 3:30pm,Seminar: Ideologies and Identities,L, ,LOVE 302,2,15,0,Shahan     
GO111,A,4,TR, 9:30am-10:45am,Introduction to American Government and Politics,S, ,DIAM 122,33,40,5,Gutting    
GO131,A,4,MWF,11:00am-11:50am,Introduction to International Relations,S, ,DIAM 122,39,40,3,Rodman     
GO131,B,4,MW,11:00am-12:15pm,Introduction to International Relations,S, ,DIAM 141,40,40,3,Seay       
GO171,A,4,MW, 1:00pm- 2:15pm,Introduction to Political Theory,S,I ,DIAM 141,40,40,8,Corrado    
GO214,A,4,TR, 1:00pm- 2:15pm,Parties and the Electoral Process,, ,DIAM 141,25,25,1,Maisel     
GO221,A,4,TR, 9:30am-10:45am,Capitalism and Its Critics,S, ,DIAM 241,17,25,5,Mayka      
GO226,A,4,TR,11:00am-12:15pm,Media and Politics,S, ,LOVE 213,31,30,2,Shea       
GO251,A,4,MW,11:00am-12:15pm,Israelis and Palestinians: Conflict and Accommodation,S, ,DIAM 342,18,25,3,Denoeux    
GO253,A,4,TR,11:00am-12:15pm,Introduction to Latin American Politics,, ,LOVE 208,25,25,2,Mayka      
GO259,A,4,TR, 1:00pm- 2:15pm,Introduction to European Politics,, ,DIAM 153,28,25,0,Yoder      
GO273,A,4,MW,11:00am-12:15pm,American Political Thought,, ,DIAM 145,24,25,0,Corrado    
GO281,A,4,MWF, 9:00am- 9:50am,Concepts and Methods of Political Science Research,Q, ,DIAM 145,20,18,9,Reisert    
GO281,B,4,MWF,10:00am-10:50am,Concepts and Methods of Political Science Research,Q, ,DIAM 123,18,18,7,Mayka      
GO313,A,4,MW, 1:00pm- 2:15pm,National Powers in American Constitutional Law,, ,DIAM 153,10,25,8,Reisert    
GO332,A,4,MW, 2:30pm- 3:45pm,International Organization,, ,DIAM 341,9,25,6,Rodman     
GO354,A,4,TR, 9:30am-10:45am,The European Union,, ,DIAM 341,17,25,5,Yoder      
GO357,A,4,TR, 2:30pm- 3:45pm,Political Economy of Regionalism,, ,DIAM 153,11,25,4,Hatch      
GO358,A,4,MW, 2:30pm- 3:45pm,Comparative Arab Politics,, ,DIAM 145,6,25,6,Denoeux    
GO455,A,4,M, 1:00pm- 3:30pm,Seminar: Conflict and Crisis in Africa,,I ,DIAM 241,11,12,0,Seay       
GO498,A,4,W, 1:00pm- 3:30pm,Seminar: Passionate Politics: Mobilization and Engagement,S,U ,DIAM 223,8,12,0,Gutting    
GO498B,A,4,W, 1:00pm- 3:30pm,"Seminar: Islands, Nukes, and Memories: Conflict in East Asia",, ,DIAM 241,4,12,0,Hatch      
GS253,A,4,TR, 9:30am-10:45am,"Goods, Gifts, and Globalizing Consumers (See AY253)",W2, , ,0, , ,Halvorson  
GS255,A,4,TR, 2:30pm- 3:45pm,"Global Health: Critical Perspectives on Health, Care, and Policy","S,W2", ,DIAM 343,16,18,0,ElShaarawi 
GS316,A,4,T, 1:00pm- 3:30pm,Religion and Social Change in Contemporary Africa (See AY316),, , ,0, , ,Halvorson  
GS455,A,4,W, 1:00pm- 3:30pm,Intervention: The Ethics and Politics of Humanitarianism,S, ,DIAM 343,10,12,0,ElShaarawi 
HI112,A,4,MWF,10:00am-10:50am,Revolutions of Modern Europe,H,I ,LOVE 208,20,40,7,Scheck     
HI120A,A,4,MWF,11:00am-11:50am,Spotlight on History: The Lincoln Assassination,"H,W1", ,LOVE 301,16,16, ,Leonard    
HI132,A,4,MWF,10:00am-10:50am,"Survey of U.S. History, 1865 to the Present",H, ,OLIN 001,40,40,7,Weisbrot   
HI141,A,4,TR, 9:30am-10:45am,Genocide and Globalization: 20th-Century World History,H,I ,MILL 014,40,40,5,vanderMeer 
HI154,A,3 to 4,TR, 9:30am-10:45am,Roman History (See AN154),H, , ,0, , ,"Roisman, J "
HI184,A,4,TR, 8:00am- 9:15am,History of the Modern Middle East,H,I ,LOVE 100,37,40,11,Turner     
HI216,A,4,TR, 9:30am-10:45am,Church History and Theology in Medieval Europe,H, ,MILL 257,6,30,0,"Taylor, L  "
HI217,A,4,TR,11:00am-12:15pm,"Tudor England, 1485-1603",H, ,MILL 257,12,30,0,"Taylor, L  "
HI228,A,4,TR, 1:00pm- 2:15pm,The Russian Empire: Soviet History and 20th-Century Revolutions,H,I ,LOVE 215,20,30,1,Sokolsky   
HI230C,A,3,TR, 1:00pm- 2:15pm,In Search of a Strong Man: Greece in the Fourth Century (See CL234),H,I , ,0, , ,"Roisman, J "
HI234,A,4,WF,11:00am-12:15pm,Native Americans since 1850,H,U ,LOVE 213,27,30,0,Tortora    
HI239,A,4,MWF, 9:00am- 9:50am,The Era of the Civil War,H,U ,MILL 008,21,30,0,Leonard    
HI242,A,4,MW, 1:00pm- 2:15pm,Colonial North America,H,U ,LOVE 215,25,30,0,Tortora    
HI250,A,4,TR,11:00am-12:15pm,History of Modern China: Everyday Life and Revolution,H,I ,MILL 014,23,30,2,LaCouture  
HI276,A,4,TR, 1:00pm- 2:15pm,Patterns and Processes in World History,H, ,LOVE 213,30,30,1,vanderMeer 
HI317,A,4,W, 1:00pm- 3:30pm,"Universities, Cathedrals, Courtly Love: 12th-Century Renaissance",H, ,MILL 257,7,20,0,"Taylor, L  "
HI321,A,4,TR, 9:30am-10:45am,The First World War,"H,W2",I ,DIAM 343,9,20,0,Scheck     
HI338,A,4,M, 1:00pm- 3:30pm,History in Reverse: Backwards through the Records from Now to Then,H, ,MILL 319,5,20,0,Leonard    
HI342,A,4,T, 7:00pm- 9:30pm,Crisis and Reform: American Society and Politics in the 1960s,H, ,MILL 319,19,20,12,Weisbrot   
HI352,A,4,R, 1:00pm- 3:30pm,Asian Migrations,H,I ,MILL 257,14,20,0,LaCouture  
HI375,A,4,MW,11:00am-12:15pm,History of Religion and Unbelief in Modern Latin America (See LA373),"H,W2",I , ,0, , ,Fallaw     
HI377,A,4,W, 1:00pm- 3:30pm,"Imperialism, Decolonization, and Modernity in Southeast Asia",H,I ,LOVE 319,5,20,0,vanderMeer 
HI389,A,4,TR, 2:30pm- 3:45pm,History of Iran,H,I ,MILL 008,16,20,4,Turner     
HI398,A,4,TR, 9:30am-10:45am,Currents of the Past: Water in Global History,H, ,DIAM 344,2,20,0,Sokolsky   
IT126,A,4,MTWF, 9:00am- 9:50am,Italian II,, ,LOVE 302,9,19,10,Ferrando   
IT126,B,4,MTWF,10:00am-10:50am,Italian II,, ,LOVE 302,14,19,10,Ferrando   
IT128,A,4,MWF,12:00n -12:50pm,Italian through Film and Visual Culture,, ,LOVE 102,6,19,13,Buonocore  
IT235,A,1,,TBA,Italian Conversation,, , ,3,20, ,Carlotti   
IT262,A,4,MW, 1:00pm- 2:15pm,Tales from the Margins: Topics in Italian Cultural Studies,L,I ,LOVE 318,4,15,0,Buonocore  
JA126,A,5,MTWRF, 9:00am- 9:50am,Elementary Japanese II,, ,LOVE 211,14,19,9,Prindle    
JA128,A,4,MTWF,10:00am-10:50am,Intermediate Japanese II,, ,LOVE 423,4,19,7,Matsumura  
JA135,A,1,R, 4:15pm- 5:05pm,Conversational Japanese I,, ,LOVE 102,9,20, ,Shibata    
JA235,A,1,T, 7:00pm- 7:50pm,Conversational Japanese II,, ,LOVE 423,5,20, ,Shibata    
JA322,A,4,MWF,12:00n -12:50pm,Third-Year Japanese,, ,LOVE 423,3,19,13,Matsumura  
JA431,A,4,MW, 1:00pm- 2:15pm,Business Japanese,, ,LOVE 423,3,15,8,Prindle    
JS126,A,3,MWR,12:00n -12:50pm,Hebrew II,, ,LOVE 207,6,20,13,Isaacs     
JS182,A,4,MW, 2:30pm- 3:45pm,"Jews, Judaism, and the Modern World (See RE182)",H,I , ,0, , ,Wexler     
JS251,A,4,MW,11:00am-12:15pm,Israelis and Palestinians: Conflict and Accommodation (See GO251),S, , ,0, , ,Denoeux    
JS398,A,4,MW, 7:00pm- 8:15pm,Jewish Short Stories (See RE398),L,I , ,0, , ,Wexler     
LA174,A,4,MW, 1:00pm- 2:15pm,Introduction to Latin American Studies,H,I ,LOVE 208,34,35,8,Fallaw     
LA214,A,4,TR,11:00am-12:15pm,Economic Policy and Performance in Contemporary Latin America (See EC214),,I , ,0, , ,Franko     
LA232,A,4,MW, 2:30pm- 3:45pm,"Latin American Art and Archtecture, 1820-Present (See AR232)",A,I , ,0, , ,"Alvarez, M "
LA236,A,4,WF, 1:00pm- 2:15pm,"Illegal Drugs, Law, and the State (See AY236)",, , ,0, , ,"Tate, W    "
LA253,A,4,TR,11:00am-12:15pm,Introduction to Latin American Politics (See GO253),, , ,0, , ,Mayka      
LA373,A,4,MW,11:00am-12:15pm,Religion and Unbelief in Modern Latin American History,"H,W2",I ,LOVE 318,4,15,3,Fallaw     
LT112,A,4,MTWF,11:00am-11:50am,Intermediate Latin,, ,LOVE 102,9,20,3,Barrett    
LT355,A,4,MW, 1:00pm- 2:15pm,Roman Satire: Juvenal,L, ,LOVE 244,7,20,8,Barrett    
MA121,A,4,MTWF, 9:00am- 9:50am,Single-Variable Calculus,Q, ,LOVE 119,28,28,14,Youngs     
MA121,B,4,MWF,12:00n -12:50pm,Single-Variable Calculus,Q, ,KEYE 102,29,28,14,Holly      
MA121,B,4,T,12:00n -12:50pm,Single-Variable Calculus,Q, ,DAVI 308,29,28,14,Holly      
MA122,A,4,MTWF, 9:00am- 9:50am,Series and Multi-variable Calculus,Q, ,KEYE 102,27,28,14,Krumm      
MA122,B,4,MTWF,12:00n -12:50pm,Series and Multi-variable Calculus,Q, ,LOVE 212,23,28,13,Youngs     
MA162,A,4,MWF,12:00n -12:50pm,Honors Calculus II,, ,MILL 014,19,28,13,Livshits   
MA162,A,4,T,12:00n -12:50pm,Honors Calculus II,, ,DAVI 102,19,28,13,Livshits   
MA253,A,4,MWF,11:00am-11:50am,Linear Algebra,, ,KEYE 102,29,28,3,Bretscher  
MA253,B,4,TR, 1:00pm- 2:15pm,Linear Algebra,, ,DAVI 201,28,28,1,Hulse      
MA262,A,4,MWF, 9:00am- 9:50am,Vector Calculus,, ,LOVE 303,23,28,14,Lu         
MA262,B,4,MWF,12:00n -12:50pm,Vector Calculus,, ,MUDD 405,24,28,14,Welch      
MA274,A,4,MWF,10:00am-10:50am,Mathematical Reasoning,W2, ,MUDD 405,20,24,7,"Taylor, Sc "
MA274,B,4,MWF,12:00n -12:50pm,Mathematical Reasoning,W2, ,LOVE 303,18,24,7,"Taylor, Sc "
MA311,A,4,TR,11:00am-12:15pm,Ordinary Differential Equations,, ,DAVI 201,28,28,2,Hulse      
MA338,A,4,MWF, 2:30pm- 3:20pm,Real Analysis,, ,DAVI 201,14,28,6,Livshits   
