#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2012 01 03 22 50 341  9.3 11.1  1.24  4.35  4.24 999 1010.6  -3.5   7.8 -11.3 99.0 99.00
2012 01 03 23 50 333 11.0 13.5  1.45  5.00  4.34 999 1011.3  -4.2   7.8 -11.7 99.0 99.00
2012 01 04 00 50 336  8.9 11.1  1.48  5.26  4.46 999 1012.6  -4.7   7.8 -11.8 99.0 99.00
2012 01 04 01 50 331  8.1 11.1  1.64  5.26  4.55 999 1013.3  -5.5   7.8 -12.1 99.0 99.00
2012 01 04 02 50 344  9.4 13.2  1.52  5.00  4.48 999 1012.8  -6.0   7.8 -12.0 99.0 99.00
2012 01 04 03 50 343 11.2 13.3  1.61  5.56  4.38 999 1011.3  -6.7   7.8 -12.1 99.0 99.00
2012 01 04 04 50 334 11.6 15.4  1.84  5.56  4.72 999 1012.3  -7.3   7.7 -11.9 99.0 99.00
2012 01 04 05 50 344 10.0 12.7  1.87  5.88  4.86 999 1013.4  -7.7   7.7 -11.7 99.0 99.00
2012 01 04 06 50 343 11.9 14.9  2.00  5.88  4.85 999 1013.2  -7.8   7.7 -11.8 99.0 99.00
2012 01 04 07 50 350 11.0 14.0  2.01  5.88  4.92 999 1013.9  -8.1   7.7 -12.5 99.0 99.00
2012 01 04 08 50 341 10.9 14.1  1.96  5.88  4.97 999 1014.1  -7.9   7.7 -11.7 99.0 99.00
2012 01 04 09 50 330 11.6 14.9  2.00  5.88  4.88 999 1013.9  -8.4   7.7 -11.4 99.0 99.00
2012 01 04 10 50 347 11.7 14.7  2.03  5.88  4.91 999 1013.9  -8.6   7.7 -11.9 99.0 99.00
2012 01 04 11 50 341 10.5 12.8  1.88  5.88  4.86 999 1014.5  -8.6   7.8 -11.4 99.0 99.00
2012 01 04 12 50 327 10.3 13.4  1.93  5.88  4.78 999 1015.3  -8.2   7.8 -10.9 99.0 99.00
2012 01 04 13 50 324  8.9 11.6  1.81  5.88  4.80 999 1016.0  -7.7   7.8 -10.4 99.0 99.00
2012 01 04 14 50 323  8.9 11.0  1.76  5.88  4.72 999 1015.8  -7.2   7.8 -10.1 99.0 99.00
2012 01 04 15 50 323  8.6 11.6  1.63  5.88  4.53 999 1015.4  -7.0   7.8 -11.8 99.0 99.00
2012 01 04 16 50 311  7.8 10.5  1.59  5.56  4.66 999 1014.8  -6.0   7.8 -11.8 99.0 99.00
2012 01 04 17 50 310  9.7 12.6  1.42  5.00  4.36 999 1013.8  -5.2   7.8 -11.8 99.0 99.00
2012 01 04 18 50 292  9.7 13.2  1.55  5.00  4.42 999 1013.8  -4.0   7.8 -12.2 99.0 99.00
2012 01 04 19 50 276  7.6 11.1  1.39  5.26  4.32 999 1013.9  -3.6   7.8 -12.9 99.0 99.00
2012 01 04 20 50 270  7.0  8.7  1.05  5.00  4.15 999 1014.1  -3.3   7.7 -11.5 99.0 99.00
2012 01 04 21 50 272  5.4  7.3  0.95  4.76  4.19 999 1014.2  -3.1   7.7 -12.5 99.0 99.00
2012 01 04 22 50 261  5.7  8.3  0.85  4.17  4.15 999 1014.2  -2.8   7.7 -11.7 99.0 99.00
2012 01 04 23 50 264  5.3  7.1  0.76 10.81  4.35 999 1014.2  -2.4   7.8 -13.1 99.0 99.00
2012 01 05 00 50 270  6.1  8.5  0.87 12.12  4.85 999 1013.6  -1.4   7.8 -11.9 99.0 99.00
2012 01 05 01 50 248  7.2  9.5  0.82 11.43  4.55 999 1013.1  -0.9   7.8 -11.2 99.0 99.00
2012 01 05 02 50 236  8.5 11.4  0.93 11.43  4.36 999 1012.3  -0.1   7.8 -10.0 99.0 99.00
2012 01 05 03 50 231  9.7 13.0  1.11 12.12  4.37 999 1011.3   0.6   7.8  -8.3 99.0 99.00
2012 01 05 04 50 236 10.2 13.3  1.26  4.55  4.32 999 1011.0   0.7   7.8  -8.2 99.0 99.00
2012 01 05 05 50 253 10.1 12.6  1.48  5.00  4.42 999 1010.7   0.6   7.8  -6.9 99.0 99.00
2012 01 05 06 50 252  7.5 10.2  1.44  5.00  4.45 999 1010.5  -0.1   7.8  -9.1 99.0 99.00
2012 01 05 07 50 246  6.3  8.0  1.48  5.56  4.80 999 1009.6   0.0   7.7  -8.2 99.0 99.00
2012 01 05 08 50 245  6.7  8.7  1.54  5.56  5.06 999 1009.1  -0.1   7.7  -9.1 99.0 99.00
2012 01 05 09 50 250  6.8  8.5  1.45  5.88  5.08 999 1008.7   0.0   7.7  -8.2 99.0 99.00
2012 01 05 10 50 249  7.6  9.7  1.41  5.88  4.94 999 1008.3  -0.2   7.7  -8.2 99.0 99.00
2012 01 05 11 50 258  7.4  8.9  1.32 12.90  4.81 999 1008.2  -0.1   7.7  -7.3 99.0 99.00
2012 01 05 12 50 247  6.8 10.4  1.26 11.43  4.83 999 1007.9   0.3   7.7  -6.2 99.0 99.00
2012 01 05 13 50 248  8.0 10.0  1.32  5.56  4.96 999 1008.3   0.7   7.8  -5.5 99.0 99.00
2012 01 05 14 50 245  8.5 10.5  1.28  5.26  4.59 999 1008.0   1.0   7.8  -4.7 99.0 99.00
2012 01 05 15 50 245  9.4 11.6  1.33  5.26  4.71 999 1007.1   1.4   7.8  -3.5 99.0 99.00
2012 01 05 16 50 242 10.1 11.9  1.48 12.12  4.72 999 1005.7   1.6   7.8  -3.2 99.0 99.00
2012 01 05 17 50 239  9.8 12.0  1.47  5.00  4.67 999 1004.7   1.9   7.8  -3.0 99.0 99.00
2012 01 05 18 50 254  8.8 10.9  1.48  5.26  4.80 999 1004.9   1.9   7.8  -3.0 99.0 99.00
2012 01 05 19 50 257  9.4 11.3  1.47  5.26  4.56 999 1005.2   2.3   7.8  -2.9 99.0 99.00
2012 01 05 20 50 276  9.8 11.9  1.44  5.00  4.50 999 1005.6   2.6   7.8  -3.7 99.0 99.00
2012 01 05 21 50 295 10.3 12.4  1.47  5.26  4.62 999 1006.2   2.7   7.8  -5.3 99.0 99.00
2012 01 05 22 50 294  9.1 10.4  1.41  5.26  4.54 999 1007.0   2.7   7.8  -6.0 99.0 99.00
2012 01 05 23 50 298  9.4 11.7  1.41  5.26  4.57 999 1007.8   2.5   7.8  -6.6 99.0 99.00
2012 01 06 00 50 326  9.3 11.9  1.61  5.26  4.56 999 1008.8   1.6   7.8  -6.4 99.0 99.00
2012 01 06 01 50 326  8.1 10.2  1.43  5.26  4.56 999 1009.6   0.9   7.8  -7.5 99.0 99.00
2012 01 06 02 50 314  8.3 10.5  1.50  5.26  4.56 999 1010.2   0.2   7.7  -8.8 99.0 99.00
2012 01 06 03 50 323  7.8 10.5  1.57  4.76  4.51 999 1010.8  -0.3   7.6  -9.4 99.0 99.00
2012 01 06 04 50 325  7.1  8.7  1.33  5.00  4.51 999 1010.6  -0.7   7.6  -9.3 99.0 99.00
2012 01 06 05 50 333  6.1  8.3  1.37  5.00  4.64 999 1011.3  -1.1   7.6  -9.6 99.0 99.00
2012 01 06 06 50 320  5.8  8.4  1.32  4.76  4.55 999 1011.8  -1.4   7.6  -9.8 99.0 99.00
