Course,Section,Cr,Days,Times,Title,DistReq,Diversity,Room,Reg,Max,Exam,Faculty
BI368,A,4 to 5,F,12:00n -12:50pm,Biochemistry of the Cell II (See BC368),, , ,0, , ,Millard    
BI372,A,4,MWF,11:00am-11:50am,Current Topics in Environmental Science: Corals (See ES371),, , ,0, , ,"Neal, B    "
BI373,A,3,MWF, 9:00am- 9:50am,Animal Behavior,, ,LOVE 213,29,25,8,Bevier     
BI378,A,4,MWF,10:00am-10:50am,Molecular Biology (See BC378),, , ,0, , ,van Oers   
BI378,A,4,W, 1:00pm- 4:00pm,Molecular Biology (See BC378),, , ,0, , ,van Oers   
BI382,A,4,TR, 9:30am-10:45am,Ecological Modeling,, ,MILL 205,17,12,5,"Moore, C   "
BI382,A,4,M, 1:00pm- 4:00pm,Ecological Modeling,, ,DAVI 308,17,12,5,"Moore, C   "
BI392,A,3,TR,11:00am-12:15pm,Cell Biology of Cancer,, ,OLIN 019B,14,16,4,Cota       
BI398,A,3,MWF,11:00am-11:50am,Advanced Community Ecology,, ,MILL 205,4,16,1,Barner     
BI402,A,1,F, 1:00pm- 1:50pm,Biology Seminar (Integrative Biology),, ,OLIN 335,9,12, ,Angelini   
BI402,B,1,F, 1:00pm- 1:50pm,Biology Seminar (Food Webs),, ,LOVE 301,8,12, ,Barner     
BI402,C,1,F, 1:00pm- 1:50pm,Biology Seminar (Stem Cells),, ,LOVE 302,12,12, ,Cota       
CH122,A,4,MWF,10:00am-10:50am,Earth Systems Chemistry II,"N,Lb", ,OLIN 019B,14,32,10,Drozd      Koffman     
CH122 L,A,,W, 1:00pm- 4:00pm,Lab: Earth Systems Chemistry II,, ,KEYE 408,6,16, ,Drozd       Twining    
CH122 L,B,,R, 1:00pm- 4:00pm,Lab: Earth Systems Chemistry II,, ,KEYE 408,8,16, ,Drozd       Twining    
CH142,A,4,MWF, 9:00am- 9:50am,General Chemistry II,"N,Lb", ,KEYE 105,51,45,10,Rice       
CH142,B,4,MWF,10:00am-10:50am,General Chemistry II,"N,Lb", ,KEYE 105,38,45,10,Rice       
CH142 L,A,,M, 1:00pm- 3:50pm,Laboratory: General Chem,, ,KEYE 405,15,18, ,Drozd      
CH142 L,B,,T, 1:00pm- 3:50pm,Laboratory: General Chem,, ,KEYE 405,20,18, ,"Miller, L  "
CH142 L,C,,W, 1:00pm- 3:50pm,Laboratory: General Chem,, ,KEYE 405,18,18, ,"Miller, L  "
CH142 L,D,,R, 1:00pm- 3:50pm,Laboratory: General Chem,, ,KEYE 405,20,18, ,"Miller, L  "
CH142 L,E,,F, 1:00pm- 3:50pm,Laboratory: General Chem,, ,KEYE 405,16,18, ,"Miller, L  "
CH144,A,1,F, 2:00pm- 4:00pm,Turbo Chemistry,, ,KEYE 103,6,16, ,McKinney   
CH147,A,4,MWF,10:00am-10:50am,Comprehensive General Chemistry,"N,Lb", ,AREY 005,43,48,7,Conry      
CH147 L,A,,M, 1:00pm- 1:30pm,Lab: Comprehnsv Gen Chem,, ,KEYE 103,14,16, ,Hepburn    
CH147 L,A,,M, 1:30pm- 4:00pm,Lab: Comprehnsv Gen Chem,, ,KEYE 408,14,16, ,Hepburn    
CH147 L,B,,T, 8:00am- 8:30am,Lab: Comprehnsv Gen Chem,, ,KEYE 103,14,16, ,Hepburn    
CH147 L,B,,T, 8:30am-10:50am,Lab: Comprehnsv Gen Chem,, ,KEYE 408,14,16, ,Hepburn    
CH147 L,C,,T, 1:00pm- 1:30pm,Lab: Comprehnsv Gen Chem,, ,KEYE 103,15,16, ,Hepburn    
CH147 L,C,,T, 1:30pm- 4:00pm,Lab: Comprehnsv Gen Chem,, ,KEYE 408,15,16, ,Hepburn    
CH242,A,4,MWF, 9:00am- 9:50am,Organic Chemistry II,, ,MILL 014,37,32,15,Thamattoor 
CH242,B,4,MWF,10:00am-10:50am,Organic Chemistry II,, ,MILL 014,33,32,15,Thamattoor 
CH242 L,A,,M, 1:00pm- 4:45pm,Lab: Organic Chem II,, ,KEYE 305,15,16, ,Klinkerch  
CH242 L,B,,T, 1:00pm- 4:45pm,Lab: Organic Chem II,, ,KEYE 305,15,16, ,Klinkerch  
CH242 L,C,,W, 1:00pm- 4:45pm,Lab: Organic Chem II,, ,KEYE 305,13,16, ,Klinkerch  
CH242 L,D,,R, 8:00am-11:45am,Lab: Organic Chem II,, ,KEYE 305,14,16, ,Klinkerch  
CH242 L,E,,R, 1:00pm- 4:45pm,Lab: Organic Chem II,, ,KEYE 305,12,16, ,Klinkerch  
CH261,A,4,MWF,12:00n -12:50pm,Chemistry of Aqueous Environments,, ,KEYE 103,11,24,11,McKinney   
