Year,Month,Temp
1788,10,12.894
1788,11,6.536
1788,12,-2.968
1789,1,-2.851
1789,2,-4.862
1789,3,2.003
1789,4,8.251
1789,5,13.721
1789,6,20.584
1789,7,23.356
1789,8,22.477
1789,9,-0.481
1789,10,7.884
1789,11,4.995
1789,12,0.424
1790,1,-1.175
1790,2,-1.595
1790,3,1.935
1790,4,6.979
1790,5,14.99
1790,6,21.148
1790,7,21.726
1790,8,22.087
1790,9,-0.315
1790,10,10.397
1790,11,3.819
1790,12,-4.839
1791,1,-2.908
1791,2,-4.232
1791,3,4.304
1791,4,9.482
1791,5,15.816
1791,6,20.21
1791,7,21.626
1791,8,21.446
1791,9,-1.474
1791,10,8.368
1791,11,3.742
1791,12,-1.477
1792,1,-7.111
1792,2,-2.88
1792,3,3.331
1792,4,8.685
1792,5,15.468
1792,6,19.039
1792,7,21.389
1792,8,19.875
1792,9,-2.378
1792,10,10.6
1792,11,4.004
1792,12,-2.939
1793,1,-2.328
1793,2,-1.524
1793,3,3.22
1793,4,9.645
1793,5,15.804
1793,6,20.634
1793,7,22.613
1793,8,21.763
1793,9,-0.362
1793,10,9.762
1793,11,3.749
1793,12,-1.971
1794,1,-2.648
1794,2,-2.871
1794,3,3.425
1794,4,9.443
1794,5,15.978
1794,6,19.185
1794,7,21.394
1794,8,21.4
1794,9,0.414
1794,10,9.005
1794,11,3.466
1794,12,2.211
1795,1,-3.588
1795,2,-2.574
1795,3,1.838
1795,4,8.527
1795,5,14.818
1795,6,19.644
1795,7,21.383
1795,8,20.855
1795,9,-0.692
1795,10,10.217
1795,11,3.23
1795,12,-0.699
1796,1,-2.646
1796,2,-2.977
1796,3,0.503
1796,4,9.552
1796,5,14.349
1796,6,20.021
1796,7,22.337
1796,8,21.411
1796,9,-0.911
1796,10,9.794
1796,11,3.125
1796,12,-4.54
1797,1,-4.89
1797,2,0.451
1797,3,2.155
1797,4,8.301
1797,5,13.598
1797,6,19.997
1797,7,23.272
1797,8,21.096
1797,9,-1.491
1797,10,8.674
1797,11,1.557
1797,12,-4.159
