Year,Month,Temp,
1849,8,26.314,
1849,9,25.798,
1849,10,27.199,
1849,11,27.801,
1849,12,25.023,
1850,1,22.78,
1850,2,23.713,
1850,3,25.301,
1850,4,26.426,
1850,5,27.85,
1850,6,28.062,
1850,7,27.173,
1850,8,26.768,
1850,9,26.72,
1850,10,27.884,
1850,11,26.778,
1850,12,24.934,
1851,1,22.979,
1851,2,23.823,
1851,3,25.376,
1851,4,26.931,
1851,5,28.295,
1851,6,27.571,
1851,7,26.521,
1851,8,26.309,
1851,9,26.645,
1851,10,27.482,
1851,11,26.803,
1851,12,24.779,
1852,1,24.12,
1852,2,23.855,
1852,3,24.677,
1852,4,26.708,
1852,5,28.264,
1852,6,27.967,
1852,7,26.908,
1852,8,25.991,
1852,9,26.552,
1852,10,27.082,
1852,11,26.518,
1852,12,25.634,
1853,1,23.885,
1853,2,23.168,
1853,3,25.143,
1853,4,26.768,
1853,5,28.588,
1853,6,28.628,
1853,7,27.46,
1853,8,26.545,
1853,9,26.951,
1853,10,27.336,
1853,11,26.619,
1853,12,25.293,
1854,1,23.45,
1854,2,23.363,
1854,3,25.416,
1854,4,27.289,
1854,5,28.703,
1854,6,28.313,
1854,7,27.379,
1854,8,26.59,
1854,9,26.604,
1854,10,27.839,
1854,11,27.372,
1854,12,25.679,
1855,1,24.451,
1855,2,24.144,
1855,3,25.363,
1855,4,27.772,
1855,5,29.181,
1855,6,28.261,
1855,7,27.287,
1855,8,26.621,
1855,9,26.646,
1855,10,26.986,
1855,11,26.802,
1855,12,24.656,
1856,1,24.239,
1856,2,23.803,
1856,3,25.133,
1856,4,26.886,
1856,5,28.119,
1856,6,28.094,
1856,7,26.587,
1856,8,25.229,
1856,9,26.075,
1856,10,26.563,
1856,11,26.6,
1856,12,25.097,
1857,1,23.313,
1857,2,22.976,
1857,3,24.692,
1857,4,26.205,
1857,5,27.727,
1857,6,27.081,
1857,7,26.384,
1857,8,25.995,
1857,9,26.25,
1857,10,26.316,
1857,11,26.432,
1857,12,25.039,
1858,1,24.245,
1858,2,23.649,
1858,3,25.36,
1858,4,27.726,
1858,5,28.432,
1858,6,27.873,
1858,7,26.513,
1858,8,26.116,
1858,9,26.388,
1858,10,27.271,
1858,11,27.471,
1858,12,24.837,
1859,1,23.981,
1859,2,23.862,
1859,3,25.64,
1859,4,27.715,
1859,5,28.951,
1859,6,28.188,
1859,7,26.61,
1859,8,25.944,
1859,9,26.231,
1859,10,27.31,
1859,11,27.04,
1859,12,25.269,
1860,1,23.596,
1860,2,23.498,
1860,3,24.249,
1860,4,27.187,
1860,5,28.601,
1860,6,28.305,
1860,7,27.062,
1860,8,26.562,
1860,9,27.051,
1860,10,27.303,
1860,11,26.667,
1860,12,23.946,
1861,1,22.551,
1861,2,23.159,
1861,3,25.083,
1861,4,26.978,
1861,5,28.292,
1861,6,27.979,
1861,7,26.73,
1861,8,26.227,
1861,9,26.492,
1861,10,27.026,
1861,11,27.058,
1861,12,24.968,
1862,1,22.767,
1862,2,22.573,
1862,3,24.801,
1862,4,NaN,
1862,5,NaN,
1862,6,NaN,
1862,7,NaN,
1862,8,NaN,
1862,9,NaN,
1862,10,NaN,
1862,11,NaN,
1862,12,NaN,
1863,1,NaN,
1863,2,NaN,
1863,3,NaN,
1863,4,NaN,
1863,5,NaN,
1863,6,NaN,
1863,7,NaN,
1863,8,NaN,
1863,9,NaN,
1863,10,NaN,
1863,11,NaN,
1863,12,NaN,
1864,1,NaN,
1864,2,NaN,
1864,3,NaN,
1864,4,NaN,
1864,5,NaN,
1864,6,NaN,
1864,7,NaN,
1864,8,NaN,
1864,9,NaN,
1864,10,NaN,
1864,11,NaN,
1864,12,NaN,
1865,1,24.824,
1865,2,23.922,
1865,3,24.72,
1865,4,26.955,
1865,5,28.432,
1865,6,28.716,
1865,7,27.123,
1865,8,26.569,
1865,9,27.322,
1865,10,27.609,
1865,11,27.64,
1865,12,25.297,
1866,1,24.494,
1866,2,23.556,
1866,3,25.235,
1866,4,27.519,
1866,5,29.065,
1866,6,28.191,
1866,7,27.261,
1866,8,26.302,
1866,9,26.944,
1866,10,27.208,
1866,11,27.212,
1866,12,26.278,
1867,1,24.438,
1867,2,23.764,
1867,3,25.298,
1867,4,27.475,
1867,5,28.376,
1867,6,28.442,
1867,7,27.018,
1867,8,26.434,
1867,9,26.941,
1867,10,27.669,
1867,11,27.987,
1867,12,26.227,
1868,1,23.965,
1868,2,23.576,
1868,3,25.397,
1868,4,27.588,
1868,5,29.2,
1868,6,28.282,
1868,7,27.064,
1868,8,26.709,
1868,9,27.014,
1868,10,28.031,
1868,11,26.982,
1868,12,25.578,
1869,1,24.045,
1869,2,24.809,
1869,3,25.475,
1869,4,27.829,
1869,5,28.785,
1869,6,28.492,
1869,7,27.229,
1869,8,26.496,
1869,9,27.234,
1869,10,27.511,
1869,11,27.116,
1869,12,25.046,
1870,1,24,
1870,2,23.282,
1870,3,25.29,
1870,4,27.394,
1870,5,29.051,
1870,6,28.282,
1870,7,26.686,
1870,8,25.787,
1870,9,26.654,
1870,10,27.191,
1870,11,26.934,
1870,12,24.744,
1871,1,23.371,
1871,2,23.188,
1871,3,25.472,
1871,4,27.543,
1871,5,28.189,
1871,6,28.028,
1871,7,26.687,
1871,8,26.47,
1871,9,26.801,
1871,10,27.605,
1871,11,26.667,
1871,12,25.206,
1872,1,23.651,
1872,2,23.53,
1872,3,25.703,
1872,4,27.296,
1872,5,28.647,
1872,6,27.918,
1872,7,26.724,
1872,8,26.085,
1872,9,26.761,
1872,10,27.595,
1872,11,26.715,
1872,12,24.955,
1873,1,23.675,
1873,2,24.039,
1873,3,25.322,
1873,4,27.179,
1873,5,28.685,
1873,6,28.003,
1873,7,26.661,
1873,8,26.361,
1873,9,26.609,
1873,10,27.758,
1873,11,26.832,
1873,12,25.623,
1874,1,23.906,
1874,2,23.962,
1874,3,24.88,
1874,4,27.614,
1874,5,28.561,
1874,6,27.85,
1874,7,26.673,
1874,8,26.437,
1874,9,26.577,
1874,10,27.965,
1874,11,27.48,
1874,12,25.326,
1875,1,23.827,
1875,2,23.691,
1875,3,27.163,
1875,4,27.806,
1875,5,29.324,
1875,6,28.038,
1875,7,26.312,
1875,8,26.332,
1875,9,26.413,
1875,10,26.372,
1875,11,26.721,
1875,12,25.591,
1876,1,25.208,
1876,2,24.638,
1876,3,26.468,
1876,4,28.298,
1876,5,28.916,
1876,6,28.071,
1876,7,26.393,
1876,8,25.972,
1876,9,26.044,
1876,10,28.146,
1876,11,27.624,
1876,12,26.29,
1877,1,24.592,
1877,2,24.126,
1877,3,25.832,
1877,4,26.925,
1877,5,28.51,
1877,6,28.294,
1877,7,28.062,
1877,8,27.68,
1877,9,27.641,
1877,10,27.346,
1877,11,28.52,
1877,12,27.341,
1878,1,24.018,
1878,2,25.441,
1878,3,26.682,
1878,4,27.4,
1878,5,28.907,
1878,6,28.837,
1878,7,27.104,
1878,8,26.632,
1878,9,27.168,
1878,10,28.226,
1878,11,27.313,
1878,12,24.875,
1879,1,24.437,
1879,2,23.949,
1879,3,25.247,
1879,4,27.478,
1879,5,28.302,
1879,6,26.801,
1879,7,27.207,
1879,8,25.696,
1879,9,26.2,
1879,10,27.13,
1879,11,25.587,
1879,12,23.957,
1880,1,23.816,
1880,2,23.352,
1880,3,27.034,
1880,4,27.867,
1880,5,28.624,
1880,6,27.538,
1880,7,26.326,
1880,8,26.555,
1880,9,26.149,
1880,10,27.768,
1880,11,27.281,
1880,12,25.757,
1881,1,24.511,
1881,2,24.744,
1881,3,25.499,
1881,4,27.303,
1881,5,29.224,
1881,6,28.003,
1881,7,26.749,
1881,8,26.456,
1881,9,26.621,
1881,10,27.531,
1881,11,26.512,
1881,12,25.46,
1882,1,25.067,
1882,2,23.925,
1882,3,26.184,
1882,4,27.207,
1882,5,28.228,
1882,6,26.776,
1882,7,25.806,
1882,8,26.439,
1882,9,26.512,
1882,10,27.155,
1882,11,26.203,
1882,12,25.334,
1883,1,24.156,
1883,2,23.875,
1883,3,25.004,
1883,4,27.157,
1883,5,28.617,
1883,6,27.208,
1883,7,26.372,
1883,8,26.461,
1883,9,25.854,
1883,10,26.999,
1883,11,25.788,
1883,12,23.267,
1884,1,22.562,
1884,2,23.271,
1884,3,25.598,
1884,4,26.645,
1884,5,28.524,
1884,6,28.245,
1884,7,26.699,
1884,8,26.645,
1884,9,26.022,
1884,10,26.873,
1884,11,25.89,
1884,12,24.521,
1885,1,23.958,
1885,2,22.436,
1885,3,25.244,
1885,4,26.329,
1885,5,28.114,
1885,6,28.499,
1885,7,27.055,
1885,8,26.664,
1885,9,27.002,
1885,10,27.683,
1885,11,27.124,
1885,12,24.969,
1886,1,23.405,
1886,2,23.654,
1886,3,25.581,
1886,4,27.217,
1886,5,29.047,
1886,6,27.747,
1886,7,26.596,
1886,8,26.504,
1886,9,27.007,
1886,10,27.667,
1886,11,27.21,
1886,12,24.889,
1887,1,23.343,
1887,2,23.473,
1887,3,25.297,
1887,4,27.221,
1887,5,28.145,
1887,6,26.801,
1887,7,25.925,
1887,8,25.859,
1887,9,26.162,
1887,10,27.383,
1887,11,27.002,
1887,12,24.948,
1888,1,23.416,
1888,2,24.064,
1888,3,26.362,
1888,4,27.666,
1888,5,28.347,
1888,6,28.137,
1888,7,26.753,
1888,8,26.305,
1888,9,27.274,
1888,10,28.182,
1888,11,27.634,
1888,12,25.489,
1889,1,24.783,
1889,2,24.412,
1889,3,26.116,
1889,4,27.813,
1889,5,29.586,
1889,6,28.019,
1889,7,27.157,
1889,8,26.831,
1889,9,27.64,
1889,10,26.811,
1889,11,25.544,
1889,12,24.813,
1890,1,24.225,
1890,2,25.017,
1890,3,25.878,
1890,4,27.679,
1890,5,28.7,
1890,6,27.16,
1890,7,26.261,
1890,8,25.721,
1890,9,26.328,
1890,10,27.208,
1890,11,27.132,
1890,12,25.6,
1891,1,23.88,
1891,2,23.702,
1891,3,24.995,
1891,4,27.133,
1891,5,28.887,
1891,6,29.29,
1891,7,27.005,
1891,8,26.66,
1891,9,26.971,
1891,10,27.775,
1891,11,27.093,
1891,12,25.607,
1892,1,24.875,
1892,2,25.011,
1892,3,26.264,
1892,4,29.014,
1892,5,29.069,
1892,6,27.745,
1892,7,27.137,
1892,8,26.196,
1892,9,26.206,
1892,10,27.68,
1892,11,25.82,
1892,12,24.894,
1893,1,23.247,
1893,2,22.389,
1893,3,24.622,
1893,4,27.57,
1893,5,28.229,
1893,6,26.997,
1893,7,26.687,
1893,8,26.367,
1893,9,26.437,
1893,10,27.055,
1893,11,27.417,
1893,12,25.23,
1894,1,24.407,
1894,2,24.798,
1894,3,26.019,
1894,4,27.509,
1894,5,28.844,
1894,6,27.981,
1894,7,26.51,
1894,8,26.723,
1894,9,26.451,
1894,10,27.246,
1894,11,26.344,
1894,12,25.304,
1895,1,23.787,
1895,2,23.911,
1895,3,25.939,
1895,4,27.329,
1895,5,28.955,
1895,6,28.234,
1895,7,26.997,
1895,8,26.436,
1895,9,26.506,
1895,10,27.609,
1895,11,27.635,
1895,12,25.166,
1896,1,24.532,
1896,2,24.108,
1896,3,26.291,
1896,4,28.633,
1896,5,29.48,
1896,6,28.038,
1896,7,27.013,
1896,8,25.974,
1896,9,27.382,
1896,10,29.175,
1896,11,28.336,
1896,12,26.609,
1897,1,24.356,
1897,2,24.244,
